Disease,"Active TB/HIV, Treatment Regimen",Active TB/HIV- Treatment Regimen,MDR-TB Treatment Regimen,,,XDR-TB Treatment Regimen,Total Impact,Malaria (p.falc),,,,,,,,,,,,,,,,,,,Malaria (p.vivax),,,,,,,Malaria,HIV,,,,,,,,,,,,RoundWorm,,,Hookworm,,Whipworm,,,,,,Worms,Schistomasis,,Onchocerciasis,,LF,,,Total
Egypt,"3,672.76","23,426.68",615.03,54.91,"1,271.66",69.61,"29,110.66",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.49,7.88,41.14,0.23,1.17,58.88,19.77,11.45,43,1.13,66.38,345.5,,,,,,,,,0,0,0,0,"2,182.17","2,182.17",0,0,,,0,"31,638.33"
El Salvador,390.77,"2,492.54",12.79,4.87,51.74,2.49,"2,955.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0.24,0.24,499.78,10.09,192.31,0.24,1.24,372.04,132.57,44.39,208.94,7.18,442.01,"1,910.79",,,,,,,,,0,0,0,0,,0,,0,,,0,"4,866.23"
Equatorial Guinea,633.99,"4,043.90",85.93,2.84,32.85,4.36,"4,803.88",0,0,0,0,0,"16,260.97",0,0,0,0,0,0,0,0,0,0,0,0,"16,260.97",0,0,0,0,0,0,0,"16,260.97",74.59,2.27,29.22,0.06,0.31,54.08,19.24,7.19,31.53,1.08,64.05,283.63,260.66,,237.51,29.36,,12.47,,35.04,498.17,29.36,47.5,575.04,26.52,26.52,1.54,1.54,,4.37,4.37,"21,955.97"
Eritrea,"11,390.27","72,652.82",0,0,0,0,"84,043.09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,525.53","1,525.53","1,525.53","1,196.84",78.34,500.14,2.23,11.44,793.69,268.49,130.36,528.88,14.34,903.92,"4,428.67",,,,,,,,,0,0,0,0,20.58,20.58,0,0,,0.02,0.02,"90,017.88"
Estonia,93.45,596.05,45.94,2.53,59.11,3.86,800.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,800.93
Ethiopia,"219,990.71","1,403,210.46","6,593.25",847.17,"7,352.15",530.37,"1,638,524.11","25,195.85",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"25,195.85",0,"13,381.44",0,0,0,0,"13,381.44","38,577.29","2,415.01",9.68,899.11,0,0,"1,866.83",680.18,203.33,986.96,38.06,"2,255.52","9,354.67",,,,,,,,,0,0,0,0,"17,958.81","17,958.81",3.27,3.27,,0.02,0.02,"1,704,418.19"
Fiji,149.93,956.31,0,0,0,1.66,"1,107.90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.61,0.13,11.76,0,0,24.45,8.9,2.65,12.91,0.5,29.53,122.45,2.66,,2.24,3.76,,0.03,,0.06,4.89,3.76,0.1,8.74,,0,,0,0.28,0.09,0.38,"1,239.48"
Finland,101.14,645.13,6.52,1.43,11.79,0.71,766.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,766.72
France,"1,631.19","10,404.56",0,0,0,0,"12,035.75",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,"12,035.75"
French Polynesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,-,-,0,0
Gabon,"1,002.87","6,396.82",6.97,0.67,5.86,3.27,"7,416.47",0,0,0,0,0,"7,947.83",0,0,0,0,0,0,0,0,0,0,0,0,"7,947.83",0,0,0,0,0,0,0,"7,947.83",222.12,4.19,84.73,0.1,0.51,166.58,59.33,19.54,92.21,3.19,197.93,850.43,363.62,,360.3,65,,75.73,,91.77,723.92,65,167.5,956.42,298.15,298.15,0,0,,1.28,1.28,"17,470.57"
Gambia,"1,314.38","8,383.76",0,0,0,30.94,"9,729.09","2,926.74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,926.74",0,0,0,0,0,0,0,"2,926.74",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,995.91,995.91,0,0,,,0,"13,651.74"
Georgia,880.33,"5,615.19",382.87,23.6,270.4,24.27,"7,196.67",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.86,0.21,6.8,0,0.02,13.49,4.89,1.56,7.41,0.27,16.21,68.73,,,,,,,,,0,0,0,0,,0,,0,,,0,"7,265.41"
Germany,875.75,"5,585.98",0,0,0,12.79,"6,474.52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,"6,474.52"
Ghana,"17,811.71","113,611.98","4,455.97",72.53,975.4,197.33,"137,124.93","114,274.89",0,0,0,0,"109,927.10",0,0,0,0,0,0,0,0,0,0,0,0,"224,201.99",0,0,0,0,0,0,0,"224,201.99","1,223.32",70.61,506.36,2,10.24,823.85,284.42,132.49,537.24,15.89,951.61,"4,558.04",,,,,,,,,0,0,0,0,"1,012.16","1,012.16",0,0,,4.93,4.93,"366,902.05"
Greece,308.99,"1,970.87",0,0,0,1.49,"2,281.34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,"2,281.34"
Greenland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,0
Grenada,5.91,37.67,0,0,0,0.07,43.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.04,0.17,17.34,0,0,38.02,13.45,3.66,19.15,0.67,45.21,185.71,,,,,,,,,0,0,0,0,,0,,0,,,0,229.35
Guam,16.25,103.64,0,0,0,0.18,120.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0.15,0,0,0.32,0.12,0.03,0.17,0.01,0.39,1.6,,,,,,,,,0,0,0,0,-,0,,0,,,0,121.67
Guatemala,"1,241.81","7,920.86",740.94,54.23,"1,054.12",66.3,"11,078.27",0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0.03,6.48,0,0,0,0,0,6.48,6.51,285.93,25.24,126.48,0.73,3.72,174.69,57.99,34.81,131.79,3.27,195.22,"1,039.86",,,,,,,,,0,0,0,0,-,0,0,0,,,0,"12,124.63"
Guinea,"16,316.99","104,077.92","2,518.56",162.45,"2,051.33",169.67,"125,296.92",0,0,0,0,0,"299,761.40",0,0,0,0,0,0,0,0,0,0,0,0,"299,761.40",0,0,0,0,0,0,0,"299,761.40",470.83,23.68,192.17,0.67,3.4,323.43,112.83,49.7,204.75,6.36,376.69,"1,764.49",,,,,,,,,0,0,0,0,"4,372.26","4,372.26",0,0,,12.96,12.96,"431,208.03"
Guinea-Bissau,"3,476.69","22,176.04",0,0,0,0,"25,652.72","12,213.96",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,213.96",0,0,0,0,0,0,0,"12,213.96",165,0.66,61.38,0,0,127.63,46.47,13.85,67.39,2.59,154.13,639.11,,,,,,,,,0,0,0,0,392.08,392.08,,0,,3.27,3.27,"38,901.13"
Guyana,291.47,"1,859.16",0,0,0,3.23,"2,153.87",0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,1.13,0,0,0,0,0,1.13,1.9,673.43,30.87,277.33,0.82,4.25,463.64,160.61,66.58,295.89,8.64,538.19,"2,520.26",,,,,,,,,0,0,0,0,,0,,0,7.15,18.1,25.24,"4,701.27"
Haiti,"3,719.79","23,726.71","1,594.05",21.81,231.66,66.24,"29,360.27",0,0,0,0,0,0,0,0,0,0,0,8.31,0,0,0,0,0,0,8.31,0,0,0,0,0,0,0,8.31,"1,099.85",31.11,427.45,0.82,4.17,805.36,284.84,102.27,462.32,15.44,950.9,"4,184.53",,,,,,,,,0,0,0,0,,0,,0,82.65,863.29,945.94,"34,499.06"
Honduras,"1,664.01","10,613.90",75.47,20.27,201.8,10.67,"12,586.13",0,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0.22,1.6,0,0,0,0,0,1.6,1.82,635.18,47.38,276.9,1.33,6.83,401.76,134.73,71.47,290.49,7.33,453.58,"2,326.99",,,,,,,,,0,0,0,0,,0,,0,,,0,"14,914.93"
Hungary,215.17,"1,372.49",0,0,0,1,"1,588.66",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,"1,588.66"
Iceland,3.97,25.3,0,0,0,0.04,29.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,29.31
India,"1,793,242.31","11,438,193.66","532,808.38","52,943.55","732,874.66","47,277.45","14,597,340.00",0,0,0,0,0,0,0,0,0,"447,790.39",0,0,0,0,0,0,0,0,"447,790.39","238,527.95",0,0,0,0,0,"238,527.95","686,318.34","13,800.33",54.68,"5,123.83",0,0,"10,691.97","3,885.72","1,150.92","5,628.05",215.11,"12,898.23","53,448.83",,,,,,,,,0,0,0,0,,0,0,0,,206.4,206.4,"15,337,313.56"
Indonesia,"370,784.45","2,365,048.14","138,801.54","2,431.24","30,472.16","6,156.23","2,913,693.75",0,0,0,0,0,"10,540.09",0,0,0,0,0,0,0,"9,630.62",0,0,0,0,"20,170.71",0,0,0,0,0,0,0,"20,170.71",503.69,27.4,207.92,0.78,3.96,340.63,119.09,55.14,220.76,6.92,396.93,"1,883.22",,,,,,,,,0,0,0,0,-,0,,0,,194.36,194.36,"2,935,942.04"
Iran,"6,106.00","38,947.10",289.5,16.84,260.09,20.31,"45,639.83",0,0,0,0,0,0,0,0,1.96,1.82,0,0,0,0,0,0,0,0,3.78,63.69,0,0,0,0,0,63.69,67.47,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,"45,707.30"
Iraq,"6,524.73","41,617.96",715.05,34.57,647.77,50.1,"49,590.18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,"49,590.18"
Ireland,79.3,505.78,0.63,0.3,2.74,0.13,588.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,588.87
Israel,69.22,441.53,9.34,1.39,11.45,0.8,533.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,533.73
Italy,923.63,"5,891.34",0,0,0,5.07,"6,820.04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,"6,820.04"
Jamaica,73.31,467.62,0,0,0,0,540.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480.78,3.97,181.18,0.06,0.31,367.1,133.34,41.4,198.2,7.48,442.32,"1,856.13",,,,,,,,,0,0,0,0,,0,,0,,,0,"2,397.06"
Japan,"5,569.88","35,527.45",0,0,0,7.88,"41,105.21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.36,0.03,3.12,0,0,6.45,2.36,0.71,3.43,0.13,7.8,32.4,,,,,,,,,0,0,0,0,,0,,0,,,0,"41,137.61"
Jordan,77.96,497.29,35.16,1.53,21.61,2.09,635.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,635.64
Kazakhstan,"6,409.42","40,882.47","7,240.72",311.56,"3,522.29",397.06,"58,763.52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281.4,17.93,122.12,0.49,2.52,181.08,62.14,30.75,128.61,3.52,207.89,"1,038.44",,,,,,,,,0,0,0,0,-,0,0,0,,,0,"59,801.96"
Kenya,"38,969.23","248,565.17","1,520.76",46.36,560.02,76.27,"289,737.80","176,634.89",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"176,634.89",0,0,0,0,0,0,0,"176,634.89","84,805.45","10,524.81","40,823.72",301.17,"1,550.71","45,146.19","13,883.04","11,320.82","41,734.31",747.34,"47,478.87","298,316.44",,,,,,,,,0,0,0,0,"1,863.14","1,863.14",,0,,0.05,0.05,"766,552.31"
Kiribati,189.48,"1,208.62",0,0,0,2.1,"1,400.21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0.08,0,0,0.16,0.06,0.02,0.08,0,0.19,0.81,,,,,,,,,0,0,0,0,,0,,0,,,0,"1,401.01"
Kuwait,99.22,632.91,1.26,0.52,4.55,0.23,738.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,738.69
Kyrgyzstan,"1,931.85","12,322.29","3,165.62",116.33,"1,283.86",163.7,"18,983.64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.22,2.84,59.18,0.06,0.33,112.47,40.62,13.92,64.19,2.32,134.76,582.92,,,,,,,,,0,0,0,0,,0,0,0,,,0,"19,566.56"
Lao People's Democratic Republic,"3,779.25","24,105.91",0,0,0,0,"27,885.16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518.39,518.39,781.97,0,0,0,0,0,781.97,"1,300.36",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,43.86,43.86,,0,,0.05,0.05,"29,229.43"
Latvia,207.55,"1,323.86",39.49,3.71,68.07,3.99,"1,646.67",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.39,0.13,2.5,0,0.02,4.69,1.69,0.59,2.71,0.1,5.62,24.44,,,,,,,,,0,0,0,0,,0,,0,,,0,"1,671.11"
Lebanon,209.92,"1,338.98",3.27,0.64,5.25,0.33,"1,558.40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.34,0.09,8.68,0,0,18.06,6.57,1.96,9.53,0.37,21.8,90.39,,,,,,,,,0,0,0,0,,0,,0,,,0,"1,648.79"
Lesotho,"11,979.73","76,412.70","1,823.34",121.32,"1,556.56",125.53,"92,019.18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,023.48",189.06,908.25,5.41,27.79,"1,212.05",397.3,247.78,943.64,21.97,"1,341.53","7,318.26",22.87,,21.3,63.33,,109.68,,297.97,44.17,63.33,407.65,515.15,-,0,0,0,,,0,"99,852.59"
Liberia,"9,537.58","60,835.41",0,0,0,105.67,"70,478.66",0,0,0,0,0,"39,583.60",0,0,0,0,0,0,0,0,0,0,0,0,"39,583.60",0,0,0,0,0,0,0,"39,583.60",157.98,4.51,61.82,0.12,0.61,114.84,41.03,15.21,66.74,2.32,136.42,601.61,41.71,,39.63,175.07,,3.89,,9.26,81.35,175.07,13.15,269.57,"1,685.88","1,685.88",,0,,105.22,105.22,"112,724.53"
Libya,407.65,"2,600.22",0,0,0,0,"3,007.87",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.19,0.04,3.79,0,0,7.88,2.87,0.86,4.16,0.16,9.52,39.47,,,,,,,,,0,0,0,0,,0,,0,,,0,"3,047.34"
Lithuania,652.93,"4,164.74",333.32,19.47,318.02,24.05,"5,512.53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,"5,512.53"
Luxembourg,4.29,27.35,0,0,0,0.05,31.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,0,0,,,0,31.68
Madagascar,"22,242.95","141,876.61",290.87,82.88,653.85,136.34,"165,283.50",0,0,0,0,0,"72,636.34",0,0,0,0,0,0,0,0,0,0,0,0,"72,636.34",416.69,400.19,416.19,194.46,0,418.77,"1,846.30","74,482.64",248.39,7.6,98.1,0.2,1.04,178.63,64.18,24.74,105.62,3.76,212.89,945.15,"30,919.95",,"23,708.52",247.94,,413.68,,"1,293.35","54,628.47",247.94,"1,707.03","56,583.44",667.61,667.61,0,0,,88.49,88.49,"298,050.82"
Malawi,"22,305.41","142,275.03",970.27,74.41,937.15,71.06,"166,633.33","192,557.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"192,557.20",0,0,0,0,0,0,0,"192,557.20","56,656.20","5,958.31","25,994.62",170.9,878.45,"32,696.58","10,431.35","7,126.84","26,852.92",558.84,"35,459.82","202,784.84",,,,,,,,,0,0,0,0,,0,,0,,,0,"561,975.37"
Malaysia,"5,177.41","33,024.12",47.54,9.31,89.62,5.25,"38,353.25",0,0,0,0,0,0,196.49,0,0,0,0,0,0,0,0,0,0,0,196.49,110.19,0,0,0,0,0,110.19,306.68,305.1,7.63,120.36,0.19,0.96,221.69,79.42,28.5,130,4.49,263.92,"1,162.26","3,953.86",,"2,345.09","1,270.28",,24.17,,56.94,"6,298.95","1,270.28",81.11,"7,650.34",,0,,0,-,-,0,"47,472.52"
Maldives,26.67,170.09,0,0,0,0.3,197.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.02,0,0,0.05,0.02,0.01,0.03,0,0.06,0.24,,,,,,,,,0,0,0,0,-,0,0,0,,,0,197.3
Mali,"14,621.68","93,264.37","2,741.72",116.74,"1,483.20",155.66,"112,383.36","328,047.26",0,0,0,0,"322,639.19",0,0,0,0,0,0,0,0,0,0,0,0,"650,686.45",0,0,0,0,0,0,0,"650,686.45",624.62,52.48,271.16,1.53,7.8,390.11,130.47,75.46,283.48,7.36,438.69,"2,283.16",,,,,,,,,0,0,0,0,"1,959.40","1,959.40",,0,,299.89,299.89,"767,612.26"
Malta,2.85,18.21,0,0,0,0.03,21.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,21.09
Marshall Islands,13.58,86.64,0.02,0,0.04,0.15,100.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0.01,0.48,0,0,1,0.37,0.11,0.53,0.02,1.21,5.02,,,,,,,,,0,0,0,0,,0,0,0,,,0,105.46
Mauritania,"2,723.87","17,374.18",0,0,0,0,"20,098.05","3,004.62",0,0,0,0,"3,011.49",0,0,0,0,0,0,0,0,0,0,0,0,"6,016.11",0,0,0,0,0,0,0,"6,016.11",174.78,10.37,72.53,0.3,1.51,117.05,40.56,19.38,76.85,2.32,135.48,651.13,,,,,,,,,0,0,0,0,252.59,252.59,,0,,,0,"27,017.87"
Mauritius,56.58,360.89,0.34,0.17,1.5,0.07,419.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.61,0.03,2.46,0,0,5.1,1.86,0.56,2.7,0.1,6.17,25.6,,,,,,,,,0,0,0,0,37.93,37.93,,0,,,0,483.08
Mexico,"10,233.11","65,271.87","2,006.59",53.37,542.01,93.29,"78,200.25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.16,0,0,0,0,0,3.16,3.16,"5,098.53",167.67,"2,031.45",4.31,22.25,"3,653.45","1,283.29",476.38,"2,186.68",69.02,"4,290.58","19,283.62",,,,,,,,,0,0,0,0,,0,,0,,,0,"97,487.03"
Micronesia (Federated States of),18.48,117.88,0,0,0,0,136.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,0.46,0.22,0.68,137.04
Monaco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,0
Mongolia,"1,916.56","12,224.77",222.51,13.4,130.52,13.14,"14,520.89",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76,0,0.28,0,0,0.59,0.21,0.06,0.31,0.01,0.71,2.93,,,,,,,,,0,0,0,0,,0,,0,,,0,"14,523.82"
Montenegro,15.35,97.92,0,0,0,0.17,113.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,113.45
Montserrat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,0
Morocco,"11,941.58","76,169.37","3,145.13",77.13,758.42,142.72,"92,234.35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264.68,15.12,112.81,0.41,2.11,174.54,60.19,27.98,119.34,3.36,201.37,981.92,,,,,,,,,0,0,0,0,41.64,41.64,0,0,,,0,"93,257.90"
Mozambique,"50,159.52","319,942.45","7,918.62",501.92,"5,717.22",506.89,"384,746.62","399,309.01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"399,309.01",0,0,0,0,0,0,0,"399,309.01","174,711.67","21,562.33","82,863.26",623.42,"3,202.53","94,559.13","29,259.12","23,538.03","84,823.09","1,589.08","99,916.37","616,648.05",357.29,,332.8,"1,155.46",,664.74,,"1,805.90",690.09,"1,155.46","2,470.64","4,316.19",387.24,387.24,,0,,160.79,160.79,"1,405,567.91"
Myanmar,"77,051.95","491,475.77","24,774.05","1,625.30","19,780.58","1,655.71","616,363.37","10,170.47",0,"9,019.56",0,0,0,"10,292.91",0,0,0,0,0,"9,878.50",0,"8,273.23",0,0,0,"47,634.68","25,945.40",0,0,0,0,0,"25,945.40","73,580.08","5,782.99",118.42,"2,232.46",2.82,14.54,"4,291.80","1,533.90",519.68,"2,423.63",84.22,"5,107.56","22,112.01",,,,,,,,,0,0,0,0,,0,0,0,,89.6,89.6,"712,145.05"
Namibia,"6,336.12","40,414.93",0,0,0,0,"46,751.05","2,849.59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,849.59",0,0,0,0,0,0,0,"2,849.59","7,435.70",632.23,"3,355.43",17.57,90.77,"4,500.16","1,475.32",851.65,"3,496.19",78.2,"4,994.04","26,927.25",,,,,,,,,0,0,0,0,77.26,77.26,,0,,,0,"76,605.15"
Nauru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,0
Nepal,"44,689.81","285,053.88","8,949.68",645.75,"7,799.81",623.68,"347,762.61",0,"1,412.91",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,412.91","4,902.33",0,0,0,0,0,"4,902.33","6,315.24",171.42,8.6,70.79,0.24,1.21,116.8,40.72,17.93,75.33,2.29,135.96,641.29,228.91,,216.48,"1,578.00",,39.24,,143.66,445.39,"1,578.00",182.91,"2,206.30",,0,,0,142.61,22.54,165.15,"357,090.58"
Netherlands,155.75,993.47,4.96,1.11,8.93,0.54,"1,164.76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,"1,164.76"
New Caledonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,-,-,0,0
New Zealand,45.11,287.76,0,0,0,0,332.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29,0.01,0.48,0,0,1,0.36,0.11,0.53,0.02,1.21,5,,,,,,,,,0,0,0,0,,0,,0,,,0,337.88
Nicaragua,712.7,"4,545.98",202.87,12.18,138.93,12.69,"5,625.35",0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0.05,0.64,0,0,0,0,0,0.64,0.69,144.53,3.03,56.04,0.07,0.37,106.78,38.33,13.22,60.77,2.15,127.39,552.67,,,,,,,,,0,0,0,0,-,0,0,0,,,0,"6,178.71"
Niger,"31,203.33","199,030.40","8,529.74",627.44,"8,482.69",632.45,"248,506.06","466,676.42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"466,676.42",0,0,0,0,0,0,0,"466,676.42","3,195.16",240.45,"1,362.00",6.98,35.65,"2,051.18",694.72,374.48,"1,430.98",39.26,"2,330.76","11,761.63",,,,,,,,,0,0,0,0,479.9,479.9,0,0,,17.23,17.23,"727,441.24"
Nigeria,"79,568.60","507,528.20","26,452.58",512.48,"6,520.32","1,200.57","621,782.74","5,578,302.71",0,0,0,0,"5,578,302.71",0,0,0,0,0,0,0,0,0,0,0,0,"11,156,605.41",0,0,0,0,0,0,0,"11,156,605.41","11,257.84",45.1,"4,191.03",0,0,"8,702.90","3,170.70",947.65,"4,600.62",177.37,"10,514.54","43,607.76",,,,,,,,,0,0,0,0,"20,801.16","20,801.16",,0,,"1,584.70","1,584.70","11,844,381.76"
