Diseases,TB,,,,,,,,,,,,,,Malaria,,,,,,,,,,,,,,HIV,,,,,,,,,,,Roundworm,,,Hookworm,,Whipworm,,,Schistosomiasis,Onchocerciasis,LF,,
Companies,F. Hoffmann-La Roche Ltd,Pfizer Inc.,Sanofi,Merck,Merck,Pfizer Inc.,Pfizer Inc.,Pfizer Inc.,Bristol-Myers Squibb,Eli Lilly and Company,Daiichi Sankyo,Bayer Healthcare,"Kyorin Pharmaceutical Co., Ltd.",Daiichi Sankyo,Novartis,"Guilin Pharmaceutical Co., Ltd.",Artepharm,Sanofi,Sanofi,Sanofi,Sanofi,Sanofi,GlaxoSmithKline,Bayer Healthcare,Sanofi,Chongqing Holley Pharmaceutical Co. Ltd and Sigma Tau Industrie Farmaceutiche,Taisho Pharmaceuticals,Pfizer Inc.,Shire Pharmaceuticals,GlaxoSmithKline,GlaxoSmithKline,Bristol-Myers Squibb,Bristol-Myers Squibb,Merck,"Gilead Sciences, Inc.",Abbott Laboratories,Boehringer Ingelheim,Bristol-Myers Squibb,"Gilead Sciences, Inc.",GlaxoSmithKline,Johnson and Johnson,Merck,GlaxoSmithKline,Johnson and Johnson,GlaxoSmithKline,Johnson and Johnson,Merck,Bayer Healthcare,Merck,GlaxoSmithKline,Merck,Pfizer Inc.
Drugs,Isoniazid (H or INH),Ethambutol (E or EMB),RIfampicin (R or RMP),Pyrazinamide (Z or PZA),Streptomycin (S or STR),Ethionamide (Eto),p-aminosalicylic acid (PAS),Cycloserine (Cs),Amikacin (Amk),Capreomycin (Cm),Levofloxacin (Lfx),Moxifloxacin (Mfx),Gatifloxacin (Gfx),Ofloxacin (Ofx),Artemether-Lumefantrine (AL),Artemether (AM),Artemisinin + Piperaquine (ART + PPQ),Artesunate + Amodiaquine + Primaquine (AS + AQ + PQ),Artesunate/Amodiaquine (AS + AQ),Artesunate + Mefloquine + Primaquine (AS + MQ + PQ),Artesunate / Sulfadoxine-pyrimethamine (AS + SP),Artesunate + Sulfadoxine + Primaquine (AS + SP + PQ),Atovaquone + Proguanil (AT + PG),Chloroquine (CQ),Chloroquine + Primaquine (CQ + PQ),DHA-Piperaquine (DHA-PPQ),Clarithromycin (CL),Doxycycline (D),Lamivudine (3TC),Abacavir (ABC),Zidovudine (AZT),Didanosine (ddl),Stavudine (d4t),Efavirenz (EFV),Emtricitabine (FTC),Lopinavir / Ritonavir (LPV/r),Nevirapine (NVP),Atazanafir/Ritonavir (ATV/r),Tenofovir (TDF),Albendazole (ALB),Mebendazole (MBD),Ivermectin (IVM),Albendazole (ALB),Mebendazole (MBD),Albendazole (ALB),Mebendazole (MBD),Ivermectin (IVM),Praziquantel (PZQ),Ivermectin (IVM),Albendazole (ALB),Ivermectin (IVM),Diethylcarbamazine (DEC)
Djibouti,2397.038614,2397.038614,2397.038614,2420.562739,25.65436197,44.35553147,44.35553147,47.22511704,0.956528522,0.956528522,45.07292787,0.717396391,0.717396391,0.717396391,15.16245113,0,0,0,0,0,0,0,0,0,0,0,0,0,117.4253333,3.328256578,45.96551554,0.087867203,0.448240963,85.33942996,30.53478578,11.3345262,49.6237935,1.738274442,101.4712997,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica,22.49515732,22.49515732,22.49515732,22.49515732,0,0,0,0.044585364,0.014861788,0.014861788,0.011146341,0.011146341,0.011146341,0.011146341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.896202174,0.006757365,0.684356433,0,0,1.500555212,0.530968574,0.144309562,0.755687078,0.026618896,1.784447705,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,4082.682262,4082.682262,4082.682262,4141.868504,63.63347083,106.6424767,106.6424767,113.569158,2.308893765,2.308893765,108.374147,1.731670324,1.731670324,1.731670324,0,0,0,0,0,0,0,0,0,0.354573852,0.709147704,0,0,0,462.2545693,11.21983463,178.9111092,0.284150624,1.455947524,340.8804444,121.3850392,42.46493704,193.8797858,6.659909368,404.4631852,0,0,0,0,0,0,0,0,0,0,0.006484984,0.004696069,0.001788915
Ecuador,6116.298809,6116.298809,6116.298809,6258.290788,155.0396774,272.5916518,272.5916518,290.2000822,5.869476775,5.869476775,276.9937594,4.402107582,4.402107582,4.402107582,0.749593394,0,0,0,0,0,0,0,0,1.494799615,2.989599231,0,0,0,119.060771,1.079368575,44.61842724,0.017953541,0.092735361,91.28444324,32.87349198,10.01757144,48.8624363,1.785321678,109.4067555,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt,6774.859665,6774.859665,6774.859665,6879.414722,115.5379048,369.8700037,369.8700037,392.8424312,7.657475829,7.657475829,375.6131106,5.743106872,5.743106872,5.743106872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.48874704,7.876880302,41.14222164,0.228172471,1.16712687,58.87712942,19.76716144,11.44554097,42.99911821,1.13122986,66.37511211,0,0,0,0,0,0,0,0,2182.173653,0,0,0,0
El Salvador,720.8286706,720.8286706,720.8286706,723.0024216,3.147920064,13.49573656,13.49573656,14.31681553,0.273692993,0.273692993,13.7010063,0.205269744,0.205269744,0.205269744,0,0,0,0,0,0,0,0,0,0.119981255,0.23996251,0,0,0,499.7751378,10.09474134,192.3145072,0.24014107,1.2373534,372.0419886,132.5683728,44.3876658,208.9378302,7.183477459,442.0114,0,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea,1169.473718,1169.473718,1169.473718,1184.081697,15.17659256,21.74739899,21.74739899,23.18644254,0.479681182,0.479681182,22.10715988,0.359760887,0.359760887,0.359760887,0,0,0,0,16260.97498,0,0,0,0,0,0,0,0,0,74.59058214,2.271798024,29.22392173,0.060739075,0.309938683,54.0845598,19.24129951,7.190477589,31.53132674,1.077987634,64.05087474,421.3712794,0,171.6519033,29.36364864,0,22.97382721,0,9.202177329,26.52173674,1.543138587,2.187368577,2.187368577,0
Eritrea,21010.7714,21010.7714,21010.7714,21010.7714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1196.844245,78.34329118,500.1387478,2.23396317,11.43998368,793.6850757,268.4867923,130.35608,528.8819658,14.33775919,903.9210813,0,0,0,0,0,0,0,0,20.58370581,0,0.009374546,0.009374546,0
Estonia,172.375034,172.375034,172.375034,180.1844654,8.315135195,20.13648234,20.13648234,21.40925182,0.424256494,0.424256494,20.45467471,0.31819237,0.31819237,0.31819237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,405800.2943,405800.2943,405800.2943,406921.1465,1290.285869,2760.71667,2760.71667,2935.737514,58.34028113,58.34028113,2804.471881,43.75521085,43.75521085,43.75521085,25195.85385,0,0,0,0,0,0,0,0,13381.43661,0,0,0,0,2415.009488,9.676185381,899.1069394,0,0,1866.833562,680.1753975,203.3316248,986.960663,38.05903544,2255.520865,0,0,0,0,0,0,0,0,17958.81381,3.272471917,0.011140186,0.011140186,0
Fiji,276.5599561,276.5599561,276.5599561,276.5599561,0,0,0,0.548141362,0.182713787,0.182713787,0.137035341,0.137035341,0.137035341,0.137035341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.61327875,0.126250041,11.760213,0,0,24.45372522,8.90305016,2.654258544,12.91174693,0.496598215,29.53176635,4.27884501,0,1.458754425,3.782368406,0,0.065605386,0,0.03171123,0,0,0.189774241,0.047360065,0.142414175
Finland,186.5665452,186.5665452,186.5665452,187.6755882,1.394878506,3.752495958,3.752495958,3.986065554,0.077856532,0.077856532,3.810888357,0.058392399,0.058392399,0.058392399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,3008.938355,3008.938355,3008.938355,3008.938355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Polynesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,1849.924117,1849.924117,1849.924117,1851.109383,1.319248115,2.491620699,2.491620699,3.571509076,0.359962792,0.359962792,2.761592793,0.269972094,0.269972094,0.269972094,0,0,0,0,7947.828834,0,0,0,0,0,0,0,0,0,222.1153468,4.185336439,84.72530817,0.099756326,0.512087991,166.5792048,59.32800328,19.54379018,92.21420551,3.192325964,197.9302684,629.9903137,0,266.3729963,64.99726073,0,99.72390586,0,23.99478819,298.1493089,0,0.637971035,0.637971035,0
Gambia,2424.535657,2424.535657,2424.535657,2424.535657,0,0,0,10.21142886,3.40380962,3.40380962,2.552857215,2.552857215,2.552857215,2.552857215,2926.73714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,995.9120242,0,0,0,0
Georgia,1623.881682,1623.881682,1623.881682,1688.970198,69.80878593,123.8897221,123.8897221,131.8983402,2.669539363,2.669539363,125.8918766,2.002154522,2.002154522,2.002154522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.85506107,0.212333378,6.795786972,0.004092168,0.021137261,13.49184889,4.885691039,1.564799703,7.413400711,0.274237935,16.21403249,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,1615.433498,1615.433498,1615.433498,1615.433498,0,0,0,4.219456675,1.406485558,1.406485558,1.054864169,1.054864169,1.054864169,1.054864169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana,32855.92295,32855.92295,32855.92295,33613.43787,772.0213286,967.1016325,967.1016325,1032.222016,21.70679445,21.70679445,983.3817283,16.28009584,16.28009584,16.28009584,114274.8851,0,0,0,109927.1026,0,0,0,0,0,0,0,0,0,1223.324868,70.61127671,506.3649238,2.001466842,10.23771942,823.8520589,284.4219843,132.4854331,537.2434747,15.89488065,951.6056821,0,0,0,0,0,0,0,0,1012.157727,0,2.463607639,2.463607639,0
Greece,569.9635159,569.9635159,569.9635159,569.9635159,0,0,0,0.491953824,0.163984608,0.163984608,0.122988456,0.122988456,0.122988456,0.122988456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,10.89405343,10.89405343,10.89405343,10.89405343,0,0,0,0.021591995,0.007197332,0.007197332,0.005397999,0.005397999,0.005397999,0.005397999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.04289969,0.171207174,17.33911496,0,0,38.01863774,13.4528218,3.656281968,19.14637531,0.67442647,45.21144596,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam,29.97232729,29.97232729,29.97232729,29.97232729,0,0,0,0.059405102,0.019801701,0.019801701,0.014851275,0.014851275,0.014851275,0.014851275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.413162569,0.001648486,0.15366304,0,0,0.319651742,0.116353839,0.034662175,0.168718169,0.006484322,0.38598153,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,2290.667298,2290.667298,2290.667298,2416.627389,136.8066368,347.6306638,347.6306638,369.5109108,7.293415651,7.293415651,353.1007256,5.470061738,5.470061738,5.470061738,0,0,0,0,0,0,0,0,0,3.254302486,6.508604972,0,0,0,285.9335741,25.24112786,126.4764414,0.725611531,3.720585809,174.6879951,57.99115577,34.80678027,131.7902208,3.2665656,195.2182205,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,30098.72864,30098.72864,30098.72864,30526.88313,460.6454459,870.9109444,870.9109444,926.9024168,18.66382414,18.66382414,884.9088125,13.99786811,13.99786811,13.99786811,0,0,0,0,299761.3968,0,0,0,0,0,0,0,0,0,470.8321167,23.67688448,192.1670028,0.665469355,3.401530355,323.4297927,112.8270321,49.70019436,204.748118,6.355918039,376.6893543,0,0,0,0,0,0,0,0,4372.256681,0,6.482146592,6.482146592,0
Guinea-Bissau,6413.180398,6413.180398,6413.180398,6413.180398,0,0,0,0,0,0,0,0,0,0,12213.95864,0,0,0,0,0,0,0,0,0,0,0,0,0,164.9985357,0.658907038,61.37921875,0,0,127.6318938,46.46746101,13.85282965,67.38949393,2.591779339,154.1349517,0,0,0,0,0,0,0,0,392.0812291,0,1.632790556,1.632790556,0
Guyana,537.6594372,537.6594372,537.6594372,537.6594372,0,0,0,1.065640089,0.355213363,0.355213363,0.266410022,0.266410022,0.266410022,0.266410022,0.384095355,0,0,0,0,0,0,0,0,0.56588304,1.13176608,0,0,0,673.4274708,30.8713852,277.3335358,0.822867746,4.250355759,463.6418703,160.6141081,66.58099264,295.8897562,8.639816026,538.1895707,0,0,0,0,0,0,0,0,0,0,12.62125396,9.048497898,3.572756063
Haiti,6861.624959,6861.624959,6861.624959,7132.614147,275.3510812,321.683973,321.683973,343.5433181,7.286448362,7.286448362,327.1488093,5.464836271,5.464836271,5.464836271,0,0,0,0,0,0,0,0,0,4.155732691,8.311465382,0,0,0,1099.847627,31.11396,427.4483068,0.81584424,4.174912777,805.3576751,284.8398101,102.2684208,462.3241139,15.44200667,950.9019737,0,0,0,0,0,0,0,0,0,0,472.9704731,431.647416,41.32305709
Honduras,3069.478748,3069.478748,3069.478748,3082.308123,16.88372246,57.24455526,57.24455526,60.76498425,1.173476329,1.173476329,58.12466251,0.880107247,0.880107247,0.880107247,0,0,0,0,0,0,0,0,0,0.909313927,1.818627854,0,0,0,635.1820353,47.37844699,276.8975055,1.325487478,6.825782272,401.7633392,134.732703,71.47413148,290.4948371,7.327483095,453.58459,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,396.9147316,396.9147316,396.9147316,396.9147316,0,0,0,0.328842401,0.109614134,0.109614134,0.0822106,0.0822106,0.0822106,0.0822106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,7.315966518,7.315966518,7.315966518,7.315966518,0,0,0,0.014500233,0.004833411,0.004833411,0.003625058,0.003625058,0.003625058,0.003625058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,3307858.992,3307858.992,3307858.992,3398436.416,101166.134,247741.0661,247741.0661,263342.6234,5200.519114,5200.519114,251641.4554,3900.389335,3900.389335,3900.389335,0,0,0,0,0,0,0,447790.3913,0,119263.9727,238527.9454,0,0,0,13800.32653,54.68043783,5123.831079,0,0,10691.96773,3885.718971,1150.924618,5628.046747,215.1063998,12898.22921,0,0,0,0,0,0,0,0,0,0,103.197599,103.197599,0
Indonesia,683958.1474,683958.1474,683958.1474,707554.4084,24082.50838,30176.93962,30176.93962,32208.49602,677.1854677,677.1854677,30684.82872,507.8891008,507.8891008,507.8891008,0,0,0,0,10540.0879,0,0,0,0,0,0,4815.311168,0,0,503.6942489,27.39506296,207.9178827,0.776319949,3.964764342,340.6296778,119.0905428,55.14078351,220.7621156,6.922848002,396.9305298,0,0,0,0,0,0,0,0,0,0,97.17800842,97.17800842,0
Iran,11263.27369,11263.27369,11263.27369,11312.48811,52.58254581,104.6014185,104.6014185,111.3032512,2.23394425,2.23394425,106.2768766,1.675458187,1.675458187,1.675458187,0,0,0,0,0,0,1.960517547,1.819465508,0,31.84315219,63.68630438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iraq,12035.67162,12035.67162,12035.67162,12157.2303,128.4720616,258.0265683,258.0265683,274.5600345,5.5111554,5.5111554,262.1599348,4.13336655,4.13336655,4.13336655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,146.2698207,146.2698207,146.2698207,146.377001,0.166383069,0.713779808,0.713779808,0.757124783,0.014448325,0.014448325,0.724616052,0.010836244,0.010836244,0.010836244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel,127.6891102,127.6891102,127.6891102,129.2760916,1.865338443,4.154762518,4.154762518,4.417119083,0.087452188,0.087452188,4.220351659,0.065589141,0.065589141,0.065589141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,1703.742016,1703.742016,1703.742016,1703.742016,0,0,0,1.673927554,0.557975851,0.557975851,0.418481889,0.418481889,0.418481889,0.418481889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica,135.2320638,135.2320638,135.2320638,135.2320638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480.7849248,3.968007609,181.1790694,0.059297727,0.306290331,367.0981582,133.3394078,41.39714298,198.2012245,7.479032876,442.3186749,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan,10274.33251,10274.33251,10274.33251,10274.33251,0,0,0,2.599719819,0.866573273,0.866573273,0.649929955,0.649929955,0.649929955,0.649929955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.362344082,0.03397126,3.123660511,0,0,6.446082557,2.355840233,0.712383437,3.426126526,0.133591795,7.803137589,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,143.8123393,143.8123393,143.8123393,149.7889882,6.283324239,10.60602733,10.60602733,11.295857,0.229943224,0.229943224,10.77848474,0.172457418,0.172457418,0.172457418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan,11822.97123,11822.97123,11822.97123,13053.89314,1293.234117,1997.692567,1997.692567,2128.723253,43.67689507,43.67689507,2030.450239,32.7576713,32.7576713,32.7576713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281.3977991,17.92830017,122.1243943,0.48877702,2.524678151,181.0783042,62.13662235,30.7530697,128.6057877,3.519502832,207.8866233,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,71883.59953,71883.59953,71883.59953,72142.12856,267.8003473,379.8042472,379.8042472,404.9718119,8.389188223,8.389188223,386.0961384,6.291891167,6.291891167,6.291891167,176634.8854,0,0,0,0,0,0,0,0,0,0,0,0,0,84805.44955,10524.8083,40823.71824,301.1737119,1550.712475,45146.19221,13883.04388,11320.8226,41734.30955,747.3447735,47478.86518,0,0,0,0,0,0,0,0,1863.13535,0,0.024523328,0.024523328,0
Kiribati,349.5270447,349.5270447,349.5270447,349.5270447,0,0,0,0.692762008,0.230920669,0.230920669,0.173190502,0.173190502,0.173190502,0.173190502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207984445,0.000829842,0.077353382,0,0,0.160911455,0.058572074,0.017448805,0.084932076,0.003264183,0.194301615,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait,183.0326007,183.0326007,183.0326007,183.2473638,0.318425494,1.228468764,1.228468764,1.303385026,0.024972087,0.024972087,1.247197829,0.018729066,0.018729066,0.018729066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyzstan,3563.534059,3563.534059,3563.534059,4101.689922,561.4215859,818.1926224,818.1926224,872.2137479,18.00704181,18.00704181,831.6979038,13.50528136,13.50528136,13.50528136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.2216887,2.842385082,59.18341051,0.064665573,0.334016846,112.4708775,40.61990792,13.92368128,64.18738587,2.315515064,134.757489,0,0,0,0,0,0,0,0,0,0,0,0,0
Lao People's Democratic Republic,6971.2889,6971.2889,6971.2889,6971.2889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390.9847982,781.9695964,0,0,259.1964732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.85813576,0,0.024420741,0.024420741,0
Latvia,382.8513646,382.8513646,382.8513646,389.5647682,7.455290435,21.07009535,21.07009535,22.38665364,0.438852761,0.438852761,21.39923493,0.329139571,0.329139571,0.329139571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.392238538,0.131439965,2.499111114,0.003065015,0.015831712,4.694405339,1.693564812,0.59091293,2.706296995,0.096835882,5.618624589,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon,387.2261356,387.2261356,387.2261356,387.7827859,0.684015624,1.734545402,1.734545402,1.842969532,0.036141377,0.036141377,1.761651434,0.027106032,0.027106032,0.027106032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.33645397,0.093046756,8.677814827,0,0,18.05724061,6.571845787,1.956661525,9.528394644,0.366002973,21.80216694,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho,22098.10733,22098.10733,22098.10733,22408.07487,334.2308293,645.5429837,645.5429837,686.9682195,13.80841194,13.80841194,655.8992927,10.35630895,10.35630895,10.35630895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023.475108,189.0628256,908.2512457,5.409722591,27.78613013,1212.049977,397.296122,247.7830731,943.6423326,21.96914079,1341.53496,36.01374009,0,13.87492022,63.33330661,0,201.2651249,0,80.31357267,0,0,0,0,0
Liberia,17593.24732,17593.24732,17593.24732,17593.24732,0,0,0,34.86978624,11.62326208,11.62326208,8.71744656,8.71744656,8.71744656,8.71744656,0,0,0,0,39583.60473,0,0,0,0,0,0,0,0,0,157.979046,4.514435488,61.81815621,0.119291462,0.608719156,114.8413787,41.03301578,15.20702619,66.74291821,2.323789963,136.4219688,64.59940371,0,23.84389676,175.0698046,0,6.996112421,0,2.743388079,1685.879643,0,52.60810632,52.60810632,0
Libya,751.9676695,751.9676695,751.9676695,751.9676695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.19047164,0.040694746,3.790840842,0,0,7.882671133,2.869876037,0.855564367,4.162041341,0.160070838,9.519526024,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,1204.417123,1204.417123,1204.417123,1261.081921,60.55783315,124.162419,124.162419,132.0992282,2.64560307,2.64560307,126.1466213,1.984202303,1.984202303,1.984202303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,7.909149337,7.909149337,7.909149337,7.909149337,0,0,0,0.015675921,0.005225307,0.005225307,0.00391898,0.00391898,0.00391898,0.00391898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar,41029.88911,41029.88911,41029.88911,41079.33747,66.02355763,196.7943368,196.7943368,241.7858898,14.99718434,14.99718434,208.0422251,11.24788825,11.24788825,11.24788825,194.4611726,0,0,0,72636.34002,0,0,0,0,608.5360404,416.6876075,416.1921673,0,0,248.3944536,7.600489432,98.10129301,0.203174716,1.035439952,178.626559,64.17759012,24.73734785,105.6219024,3.76174883,212.8873367,97951.24293,0,70766.39514,247.9442511,0,770.995259,0,311.9887743,667.6068954,0,44.24582812,44.24582812,0
Malawi,41145.11151,41145.11151,41145.11151,41310.0571,179.8281727,367.2583746,367.2583746,390.706762,7.816129162,7.816129162,373.1204714,5.862096872,5.862096872,5.862096872,192557.1954,0,0,0,0,0,0,0,0,0,0,0,0,0,56656.19992,5958.308542,25994.62349,170.9041978,878.450638,32696.58195,10431.34688,7126.838206,26852.92081,558.8448895,35459.82239,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,9550.382006,9550.382006,9550.382006,9558.463485,9.943211272,27.8671776,27.8671776,29.60012243,0.577648279,0.577648279,28.30041381,0.43323621,0.43323621,0.43323621,0,0,0,0,0,0,0,0,0,55.09435246,110.1887049,0,0,0,305.1000419,7.629667751,120.35844,0.186198375,0.961769783,221.6896138,79.41901362,28.50264059,130.0009724,4.486681232,263.9218557,5756.033973,0,2003.031446,1129.648803,0,52.63792096,0,28.47040893,0,0,0,0,0
Maldives,49.19041082,49.19041082,49.19041082,49.19041082,0,0,0,0.097495311,0.032498437,0.032498437,0.024373828,0.024373828,0.024373828,0.024373828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06192275,0.000251556,0.023130554,0,0,0.047732927,0.017444882,0.005275165,0.0253703,0.000989241,0.057781853,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,26971.51134,26971.51134,26971.51134,27437.60292,489.4394421,786.0794293,786.0794293,837.4484606,17.12301044,17.12301044,798.9216871,12.84225783,12.84225783,12.84225783,328047.2627,0,0,0,322639.1893,0,0,0,0,0,0,0,0,0,624.6184306,52.48142951,271.1621403,1.525658686,7.799474587,390.1065,130.4704046,75.45674433,283.4841222,7.359429085,438.6915663,0,0,0,0,0,0,0,0,1959.40133,0,149.9430534,149.9430534,0
Malta,5.265324158,5.265324158,5.265324158,5.265324158,0,0,0,0.010435864,0.003478621,0.003478621,0.002608966,0.002608966,0.002608966,0.002608966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands,25.05667407,25.05667407,25.05667407,25.05965957,0.003836887,0.010954256,0.010954256,0.060616542,0.016554095,0.016554095,0.023369827,0.012415571,0.012415571,0.012415571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.296460893,0.005172778,0.482178533,0,0,1.003033706,0.365106168,0.108766278,0.529419954,0.020347123,1.211169637,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,5024.512978,5024.512978,5024.512978,5024.512978,0,0,0,0,0,0,0,0,0,0,3004.618262,0,0,0,3011.487917,0,0,0,0,0,0,0,0,0,174.7792268,10.3670891,72.52631681,0.296653062,1.514400963,117.0528014,40.56364975,19.37673313,76.84619161,2.323417471,135.4806061,0,0,0,0,0,0,0,0,252.5860171,0,0,0,0
Mauritius,104.365987,104.365987,104.365987,104.423548,0.091943475,0.392797301,0.392797301,0.416635466,0.007946055,0.007946055,0.398756842,0.005959541,0.005959541,0.005959541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.609798319,0.026615142,2.463784536,0,0,5.104314146,1.861812905,0.558866987,2.703752946,0.104677145,6.171307193,0,0,0,0,0,0,0,0,37.92856929,0,0,0,0
Mexico,18876.24572,18876.24572,18876.24572,19217.36549,351.7945325,460.1974275,460.1974275,490.9831443,10.26190561,10.26190561,467.8938567,7.696429206,7.696429206,7.696429206,0,0,0,0,0,0,0,0,0,1.581405433,3.162810867,0,0,0,5098.529187,167.67032,2031.454203,4.308073496,22.25247626,3653.454819,1283.285014,476.3764697,2186.680866,69.02368977,4290.584645,0,0,0,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),34.08946939,34.08946939,34.08946939,34.08946939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.339840888,0.11167678,0.228164109
Monaco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
