Anguilla,AMR,"16,373",,B,0.00,,,97.14,97,97,,,42.18%,,,42.18%,,,26.96%,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Burundi,Chile,,First-Line Regimens,96.80%,72.10%,,TDF + 3TC + EFV,10.60%,76.67%,TDF + FTC + EFV,6.20%,87.25%,,,Abbot Laboratories,LPV/r,"20,914.82",7,,,,0.00,,Bangladesh,84,2011,Bulgaria,92,2011,Bolivia,100,2011
Antigua and Barbuda,AMR,"94,661",,B,398.28,334.50,63.77,86.00,87,82,153,,42.18%,153,,42.18%,,,26.96%,,,,,3.64,0.09,2.95,0.02,0.17,2.41,0.25,0.47,0.63,0.69,0.39,0.01,11.72,,Cambodia,Cuba,,Second-Line Regimens,3.20%,24.90%,,TDF + FTC + EFV,3.50%,76.40%,ABC + 3TC + EFV,2.60%,73.70%,,,Pfizer,NFV,30.75,8,,,,398.28,,Bulgaria,92,2011,Bahamas,73,2011,Botswana,91,2011
Argentina,AMR,"41,223,889",Latin America and the Caribbean,B,"90,351.03","84,815.85","5,535.18",97.14,97,97,"43,313","55,000",78.75%,"42,027","51,700",81.29%,"1,286","3,300",38.97%,"93,000","3,339","75,599.83","1,301.15",351.40,8.80,280.61,0.44,17.44,242.30,25.34,38.69,56.37,70.33,39.56,0.26,"1,131.55",,Cameroon,Dominican Republic,,Third-Line Regimens,0.01%,3.00%,,TDF + 3TC + NVP,2.70%,75.00%,d4T + 3TC + NVP,2.10%,75.78%,,,,,,,,,,"90,351.03",,Bahamas,71,2011,Bosnia and Herzegovina,100,2011,Brazil,93,2011
Armenia,EUR,"2,877,311",Europe and Central Asia,A,"6,542.66","6,516.07",26.59,81.00,82,75,250,"1,000",25.00%,240,900,26.67%,10,100,10.00%,"3,200",198,853.33,19.84,79.28,0.04,32.71,0.00,35.49,33.92,4.90,0.47,49.80,15.95,0.00,0.00,252.55,,Central African Republic,Ecuador,,,,,,TDF + FTC + NVP,2.50%,66.93%,d4T + 3TC + EFV,1.80%,78.00%,,,Overall Impact for HIV drugs,,"3,828,793.10",,,,,"6,542.66",,Bosnia and Herzegovina,100,2011,Belarus,80,2011,Burundi,90,2011
Aruba,AMR,"101,669",,B,0.00,,,97.14,97,97,,,42.18%,,,42.18%,,,26.96%,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,China,El Salvador,,,,,,Others,0.80%,72.01%,Others,12.90%,75.78%,,,,,,,,,,0.00,,Belarus,81,2011,Bolivia,58,2011,Cape Verde,95,2011
Australia,WPR,"22,031,750",,A,"8,155.93","7,791.96",363.96,97.14,97,97,"11,120",,42.18%,"11,120",,42.18%,,,26.96%,"2,399",,"1,012.00",,23.71,0.09,9.76,0.00,10.67,9.97,1.40,0.20,14.92,4.58,0.00,0.00,75.30,,Democratic Republic of the Congo,Grenada,,,,,,,75.81%,,,71.52%,,,,"Treatment Coverage By Region, Age Group & Sex (2010 data)",,,,"Fallback % for missing data (Columns N, Q, T)",,,"8,155.93",,Belize,89,2011,Brazil,93,2011,Chad,74,2011
Austria,EUR,"8,363,404",Europe and Central Asia,A,"3,843.56","3,710.83",132.73,97.14,97,97,"3,163",,0.00%,"3,163",,0.00%,,,100.00%,"11,362",15,0.00,15.24,0.88,0.12,0.30,0.00,0.46,0.27,0.00,0.09,0.50,0.00,0.00,0.00,2.63,,Gambia,Guyana,,,,,,Second-Line Regimens,100.00%,,Second-Line Regimens,100.00%,,,,Region,Overall,Children,Women,Overall,Children,,"3,843.56",,Bolivia,60,2011,Barbados,95,2011,China,91,2011
Azerbaijan,EUR,"9,054,332",Europe and Central Asia,A,"7,728.93","7,707.24",21.69,79.00,78,97,435,"1,400",31.07%,426,"1,300",32.77%,9,100,9.00%,"9,900",624,"3,244.15",56.18,128.52,0.05,53.08,0.00,57.58,54.76,7.89,0.74,80.91,25.71,0.00,0.00,409.24,,Ghana,Honduras,,,,,,TDF + 3TC + LPV/r,27.10%,,TDF + 3TC + EFV,18.10%,78.20%,,,Global,47.00%,23.00%,48.00%,42.18%,26.96%,,"7,728.93",,Brazil,93,2011,Brunei Darussalam,100,2011,Congo,69,2011
Bahamas,AMR,"360,832",,B,0.00,,,71.00,73,33,,,42.18%,,,42.18%,,,26.96%,"6,800",55,"2,868.09",14.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Guatemala,Nicaragua,,,,,,AZT + ddl + LPV/r,25.00%,,TDF + 3TC + LPV/r,16.60%,,,,Sub-Saharan Africa,49.00%,21.00%,50.00%,50.24%,22.54%,,0.00,,Barbados,95,2011,Botswana,95,2011,Cuba,100,2011
Bahrain,EMR,"1,240,862",,A,"3,566.45","3,304.58",261.87,97.14,97,97,,,42.18%,,,42.18%,,,26.96%,,,,,10.23,0.07,4.20,0.00,4.62,4.28,0.59,0.10,6.42,1.94,0.00,0.00,32.46,,India,Panama,,,,,,AZT + 3TC + LPV/r,12.70%,50.00%,TDF + 3TC + ATV/r,13.40%,65.00%,,,Eastern & Southern Africa,56.00%,26.00%,64.00%,42.18%,26.96%,,"3,566.45",,Brunei Darussalam,100,2011,China,87,2011,Djibouti,100,2011
Bangladesh,SEA,"152,149,102","East, South and South-East Asia",A,"11,816.73","10,814.03","1,002.70",84.00,85,79,465,"1,400",33.21%,442,"1,250",35.36%,23,150,15.33%,"6,800","15,079","2,404.48","2,312.10",153.90,0.81,63.19,0.00,69.31,64.92,9.10,1.43,96.54,29.70,0.00,0.00,488.90,,Iran,Paraguay,,,,,,TDF + FTC + LPV/r,10.70%,67.50%,AZT + 3TC + LPV/r,3.90%,50.00%,,,Western & Central Africa,30.00%,9.00%,18.00%,42.18%,26.96%,,"11,816.73",,Bhutan,89,2011,Congo,69,2011,Dominica,100,2011
Barbados,AMR,"279,569",,B,"2,047.09","1,852.38",194.72,95.00,95,97,847,,42.18%,847,,42.18%,,,26.96%,"1,400",43,590.49,11.59,6.84,0.17,5.46,0.02,0.34,4.59,0.49,0.82,1.16,1.37,0.77,0.01,22.07,,Kenya,Peru,,,,,,AZT + 3TC + TDF + LPV/r,5.50%,,AZT + 3TC + TDF + LPV/r,3.00%,,,,Latin America and the Caribbean,63.00%,39.00%,59.00%,100.00%,100.00%,,"2,047.09",,Botswana,95,2011,Cape Verde,97,2011,Dominican Republic,73,2011
Belarus,EUR,"9,490,583",Europe and Central Asia,A,"12,746.90","12,735.67",11.24,81.00,80,97,"2,614","5,100",51.25%,"2,493","4,900",50.88%,121,200,60.50%,"22,000",654,"11,193.06",395.84,307.40,0.12,127.33,0.00,138.06,129.29,18.38,1.73,194.76,60.27,0.00,0.00,977.35,,Lesotho,Trinidad and Tobago,,,,,,ABC + ddl + LPV/r,4.80%,,d4T + 3TC + EFV,2.60%,78.00%,,,Latin America,64.00%,44.00%,64.00%,42.18%,26.96%,,"12,746.90",,Central African Republic,77,2011,Cuba,93,2011,Egypt,100,2011
Belgium,EUR,"10,895,586",Europe and Central Asia,A,"5,265.51","4,949.02",316.49,88.00,97,97,,,0.00%,,,0.00%,,,100.00%,"14,802",20,0.00,19.86,8.83,1.22,2.98,0.00,4.64,2.72,0.00,0.93,4.99,0.00,0.00,0.00,26.31,,Madagascar,Uruguay,,,,,,ABC + TDF + LPV/r,2.50%,,d4T + 3TC + LPV/r,2.20%,,,,The Caribbean,60.00%,25.00%,46.00%,42.18%,26.96%,,"5,265.51",,Chile,94,2011,Germany,86,2011,El Salvador,85,2011
Belize,AMR,"321,608",Latin America and the Caribbean,B,"9,661.12","8,851.15",809.98,89.00,97,97,"1,053","2,000",52.65%,957,"1,800",53.17%,96,200,48.00%,"2,800",26,"1,488.67",12.50,93.40,2.30,75.14,0.30,4.57,62.68,6.58,11.34,15.79,18.28,10.30,0.18,300.86,,Malawi,,,,,,,d4T + 3TC + LPV/r,1.90%,,TDF + 3TC + NVP,1.70%,65.50%,,,"East, South and South-East Asia",39.00%,39.00%,16.00%,25.10%,76.11%,,"9,661.12",,China,87,2011,Djibouti,95,2011,Georgia,70,2011
Benin,AFR,"9,199,259",Sub-Saharan Africa,A,"150,467.33","99,098.06","51,369.27",93.00,94,87,"18,230","31,000",58.81%,"16,930","25,200",67.18%,"1,300","5,800",22.41%,"61,000","9,400","40,981.35","2,106.90","1,364.45",25.53,553.15,0.00,625.38,550.37,69.83,25.68,854.34,230.23,0.00,0.00,"4,298.96",,Malaysia,,,,,,,ABC + 3TC + LPV/r,1.10%,63.00%,AZT + 3TC + TDF + ATV/r,1.40%,,,,Europe and Central Asia,23.00%,65.00%,79.00%,0.00%,100.00%,,"150,467.33",,Cote d'Ivoire,41,2011,Dominica,86,2011,Guatemala,73,2011
Bermuda,AMR,"65,124",,B,0.00,,,97.14,97,97,,,42.18%,,,42.18%,,,26.96%,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Mozambique,,,,,,,Others,8.70%,,Others,37.00%,,,,Middle East and North Africa,10.00%,5.00%,4.00%,0.00%,0.00%,,0.00,,Cameroon,62,2011,Dominican Republic,82,2011,Guinea-Bissau,32,2011
Bhutan,SEA,"727,641","East, South and South-East Asia",A,"1,764.96","1,535.77",229.19,89.00,97,97,57,500,11.40%,54,400,13.50%,3,100,3.00%,"1,000",65,135.00,1.95,5.51,0.03,2.26,0.00,2.47,2.36,0.34,0.05,3.44,1.09,0.00,0.00,17.55,,Myanmar,,,,,,,,14.27%,,,27.96%,,,,,,,,,,,"1,764.96",,Democratic Republic of the Congo,75,2011,Egypt,94,2011,Guyana,82,2011
Bolivia,AMR,"9,918,242",Latin America and the Caribbean,B,"60,819.68","59,254.37","1,565.30",60.00,58,97,"1,283","6,500",19.74%,"1,226","6,200",19.77%,57,300,19.00%,"16,000",803,"3,163.87",152.63,766.63,20.74,600.71,0.85,41.22,516.93,58.83,88.26,128.34,163.64,92.27,0.50,"2,478.93",,Namibia,,,,,,,CHILDREN,,,CHILDREN,,,,,,,,,,,,"60,819.68",,Congo,69,2011,Fiji,75,2011,Honduras,85,2011
"Bonaire, Saint Eustatius and Saba",AMR,,,B,0.00,,,97.14,97,97,,,42.18%,,,42.18%,,,26.96%,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Nepal,,,,,,,First-Line Regimens,100.00%,,First-Line Regimens,100.00%,,,,,,,,,,,0.00,,Cape Verde,97,2011,United Kingdom of Great Britain and Northern Ireland,89,2011,Iran,65,2011
Bosnia and Herzegovina,EUR,"3,722,084",Europe and Central Asia,A,"2,391.06","2,326.82",64.24,97.14,97,97,48,,0.00%,47,,0.00%,1,,100.00%,,,,,0.43,0.06,0.14,0.00,0.22,0.13,0.00,0.04,0.24,0.00,0.00,0.00,1.27,,Oman,,,,,,,d4T + 3TC + NVP,34.90%,50.00%,AZT + 3TC + EFV,32.10%,69.25%,,,,,,,,,,"2,391.06",,Cuba,93,2011,Georgia,79,2011,Jamaica,0,2011
Botswana,AFR,"2,014,866",Sub-Saharan Africa,A,"232,000.80","216,650.96","15,349.84",95.00,95,91,"161,219","170,000",94.83%,"151,171","159,000",95.08%,"10,048","11,000",91.35%,"310,000","11,000","294,735.91","10,048.00","2,937.76",23.18,"1,213.83",0.00,"1,339.08","1,177.36",155.25,31.32,"1,880.77",516.92,0.00,0.00,"9,275.47",,Papua New Guinea,,,,,,,AZT + 3TC + NVP,20.70%,77.00%,AZT + 3TC + LPV/r,26.70%,50.00%,,,,,,,,,,"232,000.80",,Czech Republic,93,2011,Guinea-Bissau,63,2011,Jordan,0,2011
Brazil,AMR,"196,796,269",Latin America and the Caribbean,B,"993,330.08","984,342.55","8,987.53",93.00,93,93,"201,279","290,000",69.41%,"195,373","281,700",69.35%,"5,906","8,300",71.16%,"557,400","15,939","386,584.70","11,341.82","8,202.43",212.88,"6,484.39",3.20,422.26,"5,666.26",611.28,882.68,"1,310.82","1,697.39",955.25,1.90,"26,450.73",,Qatar,,,,,,,d4T + 3TC + EFV,15.60%,78.00%,AZT + 3TC + NVP,17.50%,77.00%,,,,,,,,,,"993,330.08",,Germany,86,2011,Guatemala,88,2011,Kazakhstan,92,2011
British Virgin Islands,AMR,"27,224",,B,0.00,,,97.14,97,97,,,42.18%,,,42.18%,,,26.96%,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Republic of Moldova,,,,,,,AZT + 3TC + EFV,7.20%,69.25%,AZT + 3TC + NFV,3.50%,50.00%,,,,,,,,,,0.00,,Djibouti,96,2011,Guyana,80,2011,Kenya,80,2011
Brunei Darussalam,WPR,"388,662",,A,216.34,153.93,62.42,97.14,97,97,17,,42.18%,17,,42.18%,,,26.96%,,,,,0.56,0.02,0.22,0.00,0.26,0.23,0.03,0.01,0.34,0.09,0.00,0.00,1.76,,Romania,,,,,,,ABC + 3TC + EFV,6.20%,73.70%,AZT + ddl + LPV/r,3.30%,50.00%,,,,,,,,,,216.34,,Dominica,88,2011,Honduras,84,2011,Kyrgyzstan,96,2011
Bulgaria,EUR,"7,395,599",Europe and Central Asia,A,"9,668.97","9,216.32",452.66,92.00,92,97,,"1,400",0.00%,,"1,300",0.00%,3,100,3.00%,"10,047",13,0.00,0.40,0.22,0.03,0.07,0.00,0.11,0.07,0.00,0.03,0.12,0.00,0.00,0.00,0.66,,Saudi Arabia,,,,,,,d4T + 3TC + LPV/r,5.90%,50.00%,AZT + ddl + EFV,2.60%,50.00%,,,,,,,,,,"9,668.97",,Dominican Republic,82,2011,Croatia,96,2011,Lao People's Democratic Republic,88,2011
Burkina Faso,AFR,"15,605,217",Sub-Saharan Africa,A,"368,232.28","224,078.78","144,153.50",97.14,97,97,"31,543","64,000",49.29%,"30,144","50,000",60.29%,"1,399","14,000",9.99%,"92,000","24,000","55,464.96","2,398.29","1,064.44",13.09,434.79,0.00,484.23,436.22,57.80,15.14,668.92,190.13,0.00,0.00,"3,364.78",,Sierra Leone,,,,,,,ABC + 3TC + LPV/r,5.80%,63.00%,Others,14.40%,50.00%,,,,,,,,,,"368,232.28",,Algeria,75,2011,Iran,83,2011,Lesotho,79,2011
Burundi,AFR,"8,766,930",Sub-Saharan Africa,A,"553,394.08","434,343.78","119,050.30",91.00,92,90,"22,735","68,000",33.43%,"20,909","54,000",38.72%,"1,826","14,000",13.04%,"72,000","19,000","27,878.67","2,478.14","3,990.95",44.59,"1,627.03",0.00,"1,808.68","1,663.01",225.40,54.17,"2,492.48",736.05,0.00,0.00,"12,642.37",,Somalia,,,,,,,ABC + 3TC + NVP,1.70%,50.00%,,,,,,,,,,,,,"553,394.08",,Ecuador,95,2011,Jamaica,75,2011,Liberia,62,2011
Cambodia,WPR,"14,308,740","East, South and South-East Asia",A,"82,054.13","62,134.43","19,919.70",93.00,97,97,"42,799","46,000",93.04%,"38,697","39,550",97.84%,"4,102","6,450",63.60%,"74,000","1,228","72,403.99",781.27,"1,349.42",28.45,547.75,0.00,623.49,528.55,64.19,27.32,853.33,213.93,0.00,0.00,"4,236.43",,Sri Lanka,,,,,,,Others,1.50%,50.00%,,,,,,,,,,,,,"82,054.13",,Egypt,94,2011,Jordan,100,2011,Malawi,81,2011
Cameroon,AFR,"19,970,495",Sub-Saharan Africa,A,"1,548,028.75","1,128,546.05","419,482.70",62.00,97,97,"89,455","230,000",38.89%,"85,461","193,000",44.28%,"3,994","37,000",10.79%,"530,000","60,000","234,685.65","6,476.76","50,416.99",548.84,"20,579.54",0.00,"22,857.36","20,941.52","2,831.26",671.63,"31,552.86","9,262.53",0.00,0.00,"159,662.52",,Sudan,,,,,,,,63.32%,,,60.95%,,,,,,,,,,,"1,548,028.75",,Ethiopia,73,2011,Kazakhstan,63,2011,Malaysia,78,2011
Canada,AMR,"34,005,274",,B,"32,963.31","32,180.77",782.54,97.14,97,97,,,42.18%,,,42.18%,,,26.96%,"118,846",188,"50,126.83",50.74,64.64,1.72,50.79,0.04,3.42,44.09,4.91,7.20,10.59,13.66,7.69,0.03,208.78,,Suriname,,,,,,,Second-Line Regimens,100.00%,,Second-Line Regimens,100.00%,,,,,,,,,,,"32,963.31",,Fiji,75,2011,Kenya,75,2011,Mauritania,95,2011
Cape Verde,AFR,"502,384",Sub-Saharan Africa,A,"5,962.26","4,964.43",997.84,97.00,97,95,,"1,400",0.00%,,"1,050",0.00%,37,350,10.57%,"1,000",392,0.00,41.43,0.65,0.10,0.22,0.00,0.34,0.21,0.00,0.08,0.36,0.00,0.00,0.00,1.95,,Swaziland,,,,,,,ABC + 3TC + LPV/r,26.20%,63.00%,AZT + 3TC + EFV,32.10%,69.25%,,,,,,,,,,"5,962.26",,United Kingdom of Great Britain and Northern Ireland,89,2011,Kyrgyzstan,83,2011,Mauritius,100,2011
Cayman Islands,AMR,"55,507",,B,0.00,,,97.14,97,97,,,42.18%,,,42.18%,,,26.96%,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Tanzania,,,,,,,AZT + ddl + LPV/r,17.20%,,AZT + 3TC + LPV/r,26.70%,50.00%,,,,,,,,,,0.00,,Georgia,79,2011,Saint Kitts and Nevis,100,2011,Mexico,86,2011
Central African Republic,AFR,"4,448,525",Sub-Saharan Africa,A,"488,382.99","420,638.76","67,744.23",77.00,97,97,"15,287","64,000",23.89%,"14,462","52,650",27.47%,825,"11,350",7.27%,"193,327","3,470","53,103.40",252.25,"6,614.59",37.02,"2,711.50",0.00,"2,976.46","2,803.79",394.79,63.59,"4,136.60","1,284.40",0.00,0.00,"21,022.73",,Uganda,,,,,,,ABC + ddl + LPV/r,14.80%,,AZT + 3TC + NVP,17.50%,77.00%,,,,,,,,,,"488,382.99",,Ghana,71,2011,Republic of Korea,92,2011,Myanmar,94,2011
Chad,AFR,"11,887,202",Sub-Saharan Africa,A,"482,579.84","287,874.24","194,705.60",69.00,68,74,"32,288","83,000",38.90%,"31,312","64,000",48.93%,976,"19,000",5.14%,"180,000","34,000","88,065.00","1,746.53","11,493.72",99.33,"4,708.86",0.00,"5,202.03","4,777.15",651.62,133.94,"7,219.49","2,135.12",0.00,0.00,"36,421.26",,Ukraine,,,,,,,AZT + 3TC + LPV/r,12.30%,50.00%,AZT + 3TC + NFV,3.50%,,,,,,,,,,,"482,579.84",,Guinea,77,2011,Lao People's Democratic Republic,87,2011,Namibia,84,2011
Chile,AMR,"16,993,354",Latin America and the Caribbean,B,"31,277.63","30,146.91","1,130.72",94.00,97,97,"12,789","15,000",85.26%,"12,583","14,400",87.38%,206,600,34.33%,"36,000","1,376","31,457.50",472.55,279.66,7.06,222.64,0.17,13.99,194.34,20.36,29.81,44.16,56.50,31.77,0.10,900.54,,United Arab Emirates,,,,,,,AZT + ddl + EFV,6.60%,,AZT + ddl + LPV/r,3.30%,,,,,,,,,,,"31,277.63",,Gambia,82,2011,Qatar,100,2011,Netherlands,100,2011
China,WPR,"1,337,705,000","East, South and South-East Asia",A,"1,751,701.14","1,702,925.86","48,775.28",87.00,87,91,"86,122","270,000",31.90%,"84,273","260,850",32.31%,"1,849","9,150",20.21%,"703,479","7,242","227,273.40","1,463.39","17,575.57",44.85,"7,237.98",0.00,"7,890.51","7,463.24","1,063.62",129.27,"11,040.51","3,465.85",0.00,0.00,"55,911.39",,Viet Nam,,,,,,,d4T + 3TC + LPV/r,4.60%,,AZT + ddl + EFV,2.60%,,,,,,,,,,,"1,751,701.14",,Guinea-Bissau,62,2011,Sudan,61,2011,Nicaragua,100,2011
"China, Hong Kong SAR",WPR,"7,024,200",,A,0.00,,,97.14,97,97,,,42.18%,,,42.18%,,,26.96%,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Yemen,,,,,,,TDF + 3TC + LPV/r,2.00%,,Others,14.40%,,,,,,,,,,,0.00,,Equatorial Guinea,75,2011,Senegal,74,2011,Niger,80,2011
"China, Macao SAR",WPR,"536,969",,A,0.00,,,97.14,97,97,,,42.18%,,,42.18%,,,26.96%,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Zambia,,,,,,,AZT + ABC + 3TC + LPV/r,1.60%,,,,,,,,,,,,,,0.00,,Grenada,52,2011,Solomon Islands,100,2011,Peru,92,2011
Colombia,AMR,"45,918,097",Latin America and the Caribbean,B,"479,459.81","448,823.32","30,636.49",97.14,97,97,"29,803","88,000",33.87%,"29,803","85,950",34.67%,,"2,050",0.00%,"140,000","3,719","48,544.74",0.00,722.55,19.74,563.60,0.00,39.20,493.93,56.19,78.93,117.85,156.20,88.03,0.00,"2,336.21",,Zimbabwe,,,,,,,d4T + 3TC + ABC,1.40%,,,,,,,,,,,,,,"479,459.81",,Guatemala,87,2011,Sierra Leone,83,2011,Republic of Korea,100,2011
Comoros,AFR,"689,692",Sub-Saharan Africa,A,14.26,13.20,1.06,97.14,97,97,17,100,17.00%,16,0,50.24%,1,100,1.00%,"29,973",538,"15,058.90",5.38,0.05,0.00,0.02,0.00,0.02,0.02,0.00,0.00,0.03,0.01,0.00,0.00,0.15,,,,,,,,,Others,13.30%,,,,,,,,,,,,,,14.26,,Guyana,80,2011,El Salvador,83,2011,Republic of Moldova,100,2011
Congo,AFR,"4,386,693",Sub-Saharan Africa,A,"244,565.50","177,525.60","67,039.90",69.00,69,69,"14,830","35,000",42.37%,"13,286","27,450",48.40%,"1,544","7,550",20.45%,"63,000","14,000","30,492.46","2,863.05","7,507.35",134.66,"3,037.84",0.00,"3,430.14","3,071.67",397.49,138.21,"4,674.50","1,302.19",0.00,0.00,"23,694.06",,,,,,,,,,22.66%,,,49.05%,,,,,,,,,,,"244,565.50",,Honduras,84,2011,Sao Tome and Principe,96,2011,Senegal,75,2011
