Disease,TB,,,,,,,,,,,,,,Malaria,,,,,,,,,,,,HIV,,,,,,,,,,,,Roundworm,,,Hookworm,,Whipworm,,,Schistosomiasis,Onchocerciasis,LF,,
Company,F. Hoffmann-La Roche Ltd,Pfizer Inc.,Sanofi,Merck,Merck,Pfizer Inc.,Pfizer Inc.,Pfizer Inc.,Bristol-Myers Squibb,Eli Lilly and Company,Daiichi Sankyo,Bayer Healthcare,"Kyorin Pharmaceutical Co., Ltd.",Daiichi Sankyo,Novartis,Sanofi,Chongqing Holley Pharmaceutical Co. Ltd and Sigma Tau Industrie Farmaceutiche,Sanofi,Artepharm,F. Hoffmann-La Roche Ltd,Sanofi,Taisho Pharmaceuticals,Pfizer Inc.,Sanofi,Bayer Healthcare,Imperial Chemical Industries,Shire Pharmaceuticals,GlaxoSmithKline,GlaxoSmithKline,Bristol-Myers Squibb,Bristol-Myers Squibb,Merck,"Gilead Sciences, Inc.",Abbott Laboratories,Boehringer Ingelheim,"Gilead Sciences, Inc.",Bristol-Myers Squibb,Pfizer Inc.,GlaxoSmithKline,Johnson and Johnson,Merck,GlaxoSmithKline,Johnson and Johnson,GlaxoSmithKline,Johnson and Johnson,Merck,Bayer Healthcare,,GlaxoSmithKline,Merck,Pfizer Inc.
 ,Isoniazid (H or INH),Ethambutol (E or EMB),RIfampicin (R or RMP),Pyrazinamide (Z or PZA),Streptomycin (S or STR),Ethionamide (Eto),p-aminosalicylic acid (PAS),Cycloserine (Cs),Amikacin (Amk),Capreomycin (Cm),Levofloxacin (Lfx),Moxifloxacin (Mfx),Gatifloxacin (Gfx),Ofloxacin (Ofx),Artemether-Lumefantrine (AL),Artesunate / Sulfadoxine-pyrimethamine (AS + SP),DHA-Piperaquine (DHA-PPQ),Artesunate/Amodiaquine (AS + AQ),Artemisinin + Piperaquine (ART + PPQ),Sulfadoxine-pyrimethamine (SP),Artesunate+Mefloquine+Primaquine (AS + MQ + PQ),Clarithromycin (CL),Doxycycline (D),Chloroquine + Primaquine (CQ + PQ),Chloroquine (CQ),Proguanil (PG),Lamivudine (3TC),Abacavir (ABC),Zidovudine (AZT),Didanosine (ddl),Stavudine (d4t),Efavirenz (EFV),Emtricitabine (FTC),Lopinavir / Ritonavir (LPV/r),Nevirapine (NVP),Tenofovir (TDF),Atazanafir/Ritonavir (ATV/r),Nelfinavir (NFV),Albendazole (ALB),Mebendazole (MBD),Ivermectin (IVM),Albendazole (ALB),Mebendazole (MBD),Albendazole (ALB),Mebendazole (MBD),Ivermectin (IVM),Praziquantel (PZQ),,Albendazole (ALB),Ivermectin (IVM),Diethylcarbamazine (DEC)
Dominican Republic,5747.037086,5747.037086,5747.037086,5750.43224,4.013542895,10.72392894,10.72392894,14.1906122,1.155561085,1.155561085,11.59059975,0.866670814,0.866670814,0.866670814,0,0,0,0,0,0,0,0,0,8.99,4.494804085,0,2073.287441,49.69448614,1678.169191,6.934403056,98.5527669,1402.056679,142.8873048,248.2600561,345.4740922,396.692705,223.2022199,4.116101659,0,0,0,0,0,0,0,0,0,,0.00870518,0,0.00870518
Ecuador,10716.68836,10716.68836,10716.68836,10720.23148,4.188457088,11.40367702,11.40367702,18.52646371,2.374262229,2.374262229,13.18437369,1.780696672,1.780696672,1.780696672,0,6.558836012,0,0,0,0,0,0,0,32.73706373,16.36853187,0,439.4566518,11.5219987,346.4787821,0.12132473,22.86015817,303.1158002,33.03676024,47.33640238,70.44124135,91.75379783,51.64920861,0.072084224,0,0,0,0,0,0,0,0,0,,0,0,0
Egypt,23116.5463,23116.5463,23116.5463,23118.15692,1.90398494,7.682793746,7.682793746,27.38447466,6.567226973,6.567226973,12.60821398,4.92542023,4.92542023,4.92542023,3.846141855,0,0,0,0,0,0,0,0,0,0,0,30.92825445,0.151804362,12.65857113,0,13.87681934,13.26657617,1.896697431,0.286165484,19.25028654,6.137757047,0,0,0,0,0,0,0,0,0,0,51167.04543,,0.014400504,0.014400504,0
El Salvador,1489.533312,1489.533312,1489.533312,1489.586083,0.062382851,0.17472348,0.17472348,0.851554305,0.225610275,0.225610275,0.343931186,0.169207706,0.169207706,0.169207706,0,0,0,0,0,0,0,0,0,0,0,0,500.3046437,12.13321195,404.0707403,1.773854789,24.0753763,335.9625651,34.76591039,61.00082355,84.46459883,96.56508037,54.36338548,1.053035986,0,0,0,0,0,0,0,0,0,,0,0,0
Equatorial Guinea,1591.861682,1591.861682,1591.861682,1591.861682,0,0,0,1.505030093,0.501676698,0.501676698,0.376257523,0.376257523,0.376257523,0.376257523,0,0,0,26990.04413,0,0,0,0,0,0,0,0,857.6791575,3.460932675,352.5031065,0,385.5297782,363.574362,51.4644666,7.244035245,537.8315859,167.6498067,0,0,112.09106,0,43.62320747,17.52940991,0,14.25195742,0,5.637772095,10.79907183,,1.109744078,1.109744078,0
Eritrea,29419.8908,29419.8908,29419.8908,29419.8908,0,0,0,27.22690247,9.075634156,9.075634156,6.806725617,6.806725617,6.806725617,6.806725617,0,0,0,1978.882867,0,0,0,0,0,983.6446699,491.822335,0,271.9976396,0.787867176,112.3523027,0,122.5001436,113.7216559,15.9339302,2.019805397,172.0805204,52.2912563,0,0,0,0,0,0,0,0,0,0,42.06385707,,0.003972833,0.003972833,0
Estonia,454.4530856,454.4530856,454.4530856,456.6151128,2.555815668,14.95433042,14.95433042,15.4743001,0.173323224,0.173323224,15.08432284,0.129992418,0.129992418,0.129992418,0,0,0,0,0,0,0,0,0,0,0,0,0.540504014,0.074784888,0.182113509,0,0.283605617,0.16665259,0,0.056809325,0.305158607,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Ethiopia,538094.3968,538094.3968,538094.3968,538104.8962,12.41174279,36.95503424,36.95503424,173.5645007,45.5364888,45.5364888,71.10740084,34.1523666,34.1523666,34.1523666,188291.8007,0,0,0,0,0,0,0,0,0,110329.9924,55164.9962,35454.99616,830.4046154,14246.13492,0,16292.83848,14352.06221,1793.452002,793.5870895,21976.06983,5879.070147,0,0,0,0,0,0,0,0,0,0,2539.070755,,0.000117474,0.000117474,0
Fiji,522.7725805,522.7725805,522.7725805,522.7725805,0,0,0,0.448269428,0.149423143,0.149423143,0.112067357,0.112067357,0.112067357,0.112067357,0,0,0,0,0,0,0,0,0,0,0,0,36.67105645,0.018131873,15.20336411,0,16.48541086,15.35100356,2.171940045,0.206970089,23.28373936,7.136089654,0,0,32.56662015,0,0,33.73799965,0,0.22269316,0,0,0,,4.272092692,0,4.272092692
Finland,330.5418005,330.5418005,330.5418005,330.8640912,0.380992339,0.865172394,0.865172394,0.878579713,0.004469106,0.004469106,0.868524223,0.00335183,0.00335183,0.00335183,0,0,0,0,0,0,0,0,0,0,0,0,0.004845212,0.00067039,0.00163251,0,0.002542311,0.001493915,0,0.000509253,0.002735517,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
France,6666.922768,6666.922768,6666.922768,6666.922768,0,0,0,0.175087621,0.05836254,0.05836254,0.043771905,0.043771905,0.043771905,0.043771905,0,0,0,0,0,0,0,0,0,0,0,0,7.772729334,1.07544565,2.618887148,0,4.078396536,2.396551074,0,0.816947691,4.388339755,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
French Polynesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Gabon,3201.745495,3201.745495,3201.745495,3201.745495,0,0,0,3.427194197,1.142398066,1.142398066,0.856798549,0.856798549,0.856798549,0.856798549,0,0,0,31017.43351,0,0,0,0,0,0,0,0,404.8156959,3.598613906,165.9743281,0,183.4760239,167.290664,22.66025408,4.763201006,254.884283,74.42698413,0,0,435.9484973,0,184.2653778,40.26354341,0,61.66854099,0,15.34330054,118.9009908,,0.269271687,0.269271687,0
Gambia,4134.632509,4134.632509,4134.632509,4134.632509,0,0,0,3.666782882,1.222260961,1.222260961,0.916695721,0.916695721,0.916695721,0.916695721,32537.4148,0,0,0,0,0,0,0,0,0,0,0,742.3472305,6.418358584,303.7970928,0,335.7307806,309.9358101,42.48200783,8.690993502,465.2467273,138.8830064,0,0,0,0,0,0,0,0,0,0,385.8122835,,0.96898622,0.96898622,0
Georgia,3949.80475,3949.80475,3949.80475,3963.605064,16.31388319,50.14042797,50.14042797,52.94672502,0.93543235,0.93543235,50.84200223,0.701574263,0.701574263,0.701574263,0,0,0,0,0,0,0,0,0,0,0,0,205.3110205,0.305779132,85.14553493,0,92.51414862,85.19370693,11.90961985,1.290304041,130.6975406,39.25517767,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Germany,4590.101827,4590.101827,4590.101827,4591.780385,1.984288156,5.879716544,5.879716544,6.450045094,0.190109517,0.190109517,6.022298682,0.142582137,0.142582137,0.142582137,0,0,0,0,0,0,0,0,0,0,0,0,24.09742039,3.334152627,8.119210363,0,12.6440574,7.429912484,0,2.532743788,13.60495951,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Ghana,38797.62128,38797.62128,38797.62128,38797.81454,0.228464656,0.745440647,0.745440647,38.51909636,12.59121857,12.59121857,10.18885458,9.443413929,9.443413929,9.443413929,510876.8694,0,0,424873.7035,0,0,0,0,0,0,0,0,22259.96869,241.1865588,9084.038076,0,10089.45158,9258.130219,1253.737184,296.0180724,13923.39442,4099.029657,0,0,0,0,0,0,0,0,0,0,1948.000233,,63.412923,63.412923,0
Greece,793.5165246,793.5165246,793.5165246,793.5908497,0.087862611,0.310235161,0.310235161,0.390893255,0.026886032,0.026886032,0.330399684,0.020164524,0.020164524,0.020164524,0,0,0,0,0,0,0,0,0,0,0,0,0.089056473,0.012321978,0.030006043,0,0.046728452,0.027458615,0,0.009360223,0.050279643,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Greenland,16.38634534,16.38634534,16.38634534,16.38634534,0,0,0,0.015164891,0.005054964,0.005054964,0.003791223,0.003791223,0.003791223,0.003791223,0,0,0,0,0,0,0,0,0,0,0,0,0.000598738,8.28E-05,0.000201734,0,0.000314161,0.000184608,0,6.29E-05,0.000338036,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Grenada,22.8700637,22.8700637,22.8700637,22.8700637,0,0,0,0.021325627,0.007108542,0.007108542,0.005331407,0.005331407,0.005331407,0.005331407,0,0,0,0,0,0,0,0,0,0,0,0,48.29456088,1.008612997,40.43372716,0.323426418,1.998252355,32.04131224,2.91875022,6.416067444,8.336504464,8.096145006,4.55063436,0.19221901,0,0,0,0,0,0,0,0,0,,0,0,0
Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Guatemala,11957.72959,11957.72959,11957.72959,11958.16565,0.515481045,1.927051488,1.927051488,17.44140025,5.171449586,5.171449586,5.805638677,3.878587189,3.878587189,3.878587189,0,0,0,0,0,0,0,0,0,73.45795639,36.7289782,0,1513.274484,19.75841903,616.9288781,0,688.8283684,621.1479527,82.21737377,22.39139709,948.9585875,269.9761921,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Guinea,40684.43198,40684.43198,40684.43198,40685.91422,1.75221374,5.871031892,5.871031892,11.34329916,1.82408909,1.82408909,7.239098709,1.368066817,1.368066817,1.368066817,0,0,0,606071.6847,0,0,0,0,0,0,0,0,5660.939344,69.48881315,2314.892878,0,2577.648155,2308.402579,304.2852031,80.07752339,3566.283065,1003.1947,0,0,0,0,0,0,0,0,0,0,1976.984501,,5.285014255,5.285014255,0
Guinea-Bissau,6492.51369,6492.51369,6492.51369,6492.51369,0,0,0,6.363993743,2.121331248,2.121331248,1.590998436,1.590998436,1.590998436,1.590998436,265215.1951,0,0,0,0,0,0,0,0,0,0,0,1621.951266,19.82248689,661.9791474,0,737.3501323,667.2817315,88.82617046,23.04126394,1017.471112,291.6256701,0,0,0,0,0,0,0,0,0,0,220.9363622,,4.200154058,4.200154058,0
Guyana,840.5803036,840.5803036,840.5803036,840.5803036,0,0,0,0.794265886,0.264755295,0.264755295,0.198566471,0.198566471,0.198566471,0.198566471,6.217300846,0,0,0,0,0,0,0,0,12.87035684,6.435178421,0,598.7407835,14.30564924,484.4264529,1.613947543,28.35484835,409.2824884,41.27945494,69.25808203,97.72129992,114.5472355,64.41399632,0.958319354,0,0,0,0,0,0,0,0,0,,0.874462817,0,0.874462817
Haiti,52167.90293,52167.90293,52167.90293,52171.05993,3.732015933,10.2101702,10.2101702,34.50922299,8.099684261,8.099684261,16.2849334,6.074763196,6.074763196,6.074763196,0,0,0,0,0,0,0,0,0,539.33,269.6643305,0,1876.128992,43.44697777,1535.772685,10.4345547,86.22324872,1238.223679,124.3679721,245.1272247,326.8575139,345.488607,194.5309762,6.192124664,0,0,0,0,0,0,0,0,0,,73.25625023,0,73.25625023
Honduras,4516.599273,4516.599273,4516.599273,4516.929251,0.390079816,1.022203089,1.022203089,3.303836547,0.760544486,0.760544486,1.592611454,0.570408364,0.570408364,0.570408364,0,0,0,0,0,0,0,0,0,26.48811937,13.90760543,0,973.8022029,24.49476962,778.5513803,2.428378697,48.61917403,657.3782611,70.04578456,115.0912278,162.76964,194.6110422,109.5955454,1.441691919,0,0,0,0,0,0,0,0,0,,0,0,0
Hungary,1617.833914,1617.833914,1617.833914,1618.494803,0.78126297,2.645737882,2.645737882,2.949592944,0.101285021,0.101285021,2.721701647,0.075963765,0.075963765,0.075963765,0,0,0,0,0,0,0,0,0,0,0,0,21.47306037,0.005877299,8.878895725,0,9.627309113,9.108648422,1.306596902,0.121065535,13.54994332,4.267575137,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Iceland,15.25533577,15.25533577,15.25533577,15.25533577,0,0,0,0.013212411,0.004404137,0.004404137,0.003303103,0.003303103,0.003303103,0.003303103,0,0,0,0,0,0,0,0,0,0,0,0,0.030066384,0.004160027,0.01013035,0,0.015776007,0.009270312,0,0.003160108,0.016974926,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
India,4195628.071,4195628.071,4195628.071,4195743.84,136.8556351,443.4061778,443.4061778,4127.266149,1227.953324,1227.953324,1364.37117,920.9649927,920.9649927,920.9649927,0,108252.7806,0,0,0,0,0,0,0,110584.2828,55292.14141,0,21620.49648,241.9810743,8806.549706,0,9797.79275,9030.488949,1227.309564,294.2180288,13486.50125,4001.482514,0,0,0,0,0,0,0,0,0,0,0,,749.7445229,0,749.7445229
Indonesia,1527918.692,1527918.692,1527918.692,1527933.701,17.74217083,50.6986066,50.6986066,907.2151323,285.5055086,285.5055086,264.827738,214.1291314,214.1291314,214.1291314,0,0,7528.224507,12797.14992,0,0,0,0,0,0,0,0,11747.48623,78.56134255,4806.44773,0,5290.431305,4979.75373,698.6920009,122.514932,7332.314449,2270.737849,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Iran,15198.14023,15198.14023,15198.14023,15198.14023,0,0,0,14.34001536,4.78000512,4.78000512,3.58500384,3.58500384,3.58500384,3.58500384,0,8.908003866,0,0,0,0,0,0,0,47.00393001,23.50196501,0,329.8836902,0.7077239,135.4057884,0,147.5203981,142.5514165,20.72323097,2.401326799,205.5600252,66.97301071,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Iraq,16934.67391,16934.67391,16934.67391,16935.82958,1.366169577,5.651095747,5.651095747,20.63521503,4.994706429,4.994706429,9.397125568,3.746029821,3.746029821,3.746029821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Ireland,342.3119507,342.3119507,342.3119507,342.3676292,0.065819711,0.166764483,0.166764483,0.186244925,0.006493481,0.006493481,0.171634593,0.004870111,0.004870111,0.004870111,0,0,0,0,0,0,0,0,0,0,0,0,0.690856423,0.095587856,0.232772161,0,0.362496405,0.213010467,0,0.072612018,0.390044806,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Israel,387.4739257,387.4739257,387.4739257,387.8093416,0.396507984,1.460781783,1.460781783,1.515752542,0.018323586,0.018323586,1.474524472,0.01374269,0.01374269,0.01374269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Italy,3679.146875,3679.146875,3679.146875,3679.146875,0,0,0,0.632976732,0.210992244,0.210992244,0.158244183,0.158244183,0.158244183,0.158244183,0,0,0,0,0,0,0,0,0,0,0,0,7.913745422,1.094956832,2.666400088,0,4.152388502,2.4400303,0,0.831769095,4.467954839,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Jamaica,208.0940956,208.0940956,208.0940956,208.1456397,0.060932224,0.140611786,0.140611786,0.333511564,0.064299926,0.064299926,0.18883673,0.048224945,0.048224945,0.048224945,0,0,0,0,0,0,0,0,0,0,0,0,1327.979575,32.43004286,1070.612419,4.476072819,64.35918947,891.4774667,92.83414087,161.6300288,224.317796,257.8881368,145.2060145,2.658482256,0,0,0,0,0,0,0,0,0,,0,0,0
Japan,32906.66356,32906.66356,32906.66356,32906.66356,0,0,0,1.307788584,0.435929528,0.435929528,0.326947146,0.326947146,0.326947146,0.326947146,0,0,0,0,0,0,0,0,0,0,0,0,20.22793572,0.890788751,7.867106432,0,9.517914264,7.933765921,0.867281458,0.755333243,12.26652989,2.819407733,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Jordan,804.0953385,804.0953385,804.0953385,804.5684061,0.559231489,2.313316804,2.313316804,2.591938415,0.092873871,0.092873871,2.382972206,0.069655403,0.069655403,0.069655403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Kazakhstan,27862.03846,27862.03846,27862.03846,28218.15025,420.9734698,1379.627956,1379.627956,1438.11466,19.49556814,19.49556814,1394.249632,14.62167611,14.62167611,14.62167611,0,0,0,0,0,0,0,0,0,0,0,0,769.553963,1.783402413,316.674684,0,345.2680759,328.0821697,46.99359304,5.559287026,482.6563968,152.8213938,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Kenya,127155.7462,127155.7462,127155.7462,127161.1884,6.433531877,20.34223133,20.34223133,98.80825626,26.15534164,26.15534164,39.95873756,19.61650623,19.61650623,19.61650623,844064.174,0,0,0,0,0,0,0,0,0,0,0,115357.1578,1280.904644,47299.75787,0,52525.25267,46867.38197,6182.813359,1525.824054,72953.76975,20434.05599,0,0,0,0,0,0,0,0,0,0,2384.822282,,0.012424823,0.012424823,0
Kiribati,332.2738599,332.2738599,332.2738599,332.2738599,0,0,0,0.283036097,0.094345366,0.094345366,0.070759024,0.070759024,0.070759024,0.070759024,0,0,0,0,0,0,0,0,0,0,0,0,0.523715542,0.010550064,0.2110921,0,0.239706094,0.214249208,0.027483959,0.01050235,0.324838383,0.089851241,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Kuwait,957.1552295,957.1552295,957.1552295,957.3084685,0.18114973,0.42617559,0.42617559,0.449393218,0.007739209,0.007739209,0.431979997,0.005804407,0.005804407,0.005804407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Kyrgyzstan,5236.871555,5236.871555,5236.871555,5260.99738,28.52006782,93.13365987,93.13365987,109.3148823,5.393740816,5.393740816,97.17896548,4.045305612,4.045305612,4.045305612,0,0,0,0,0,0,0,0,0,0,0,0,124.378745,3.852713275,49.19669628,0,57.40391154,50.77926774,6.231473496,3.497288076,75.74044196,20.15689737,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Lao People's Democratic Republic,22719.71113,22719.71113,22719.71113,22719.77268,0.072759379,0.19585453,0.19585453,20.37783597,6.727327146,6.727327146,5.24134989,5.04549536,5.04549536,5.04549536,2830.598921,0,0,0,0,0,0,0,0,244.7737986,122.3868993,0,224.2561267,1.485438682,92.30622983,0,101.4886383,92.63309463,12.64856584,2.258032222,141.7939738,41.62438581,0,0,0,0,0,0,0,0,0,0,144.9417094,,0.04826394,0.04826394,0
Latvia,1375.733734,1375.733734,1375.733734,1379.407481,4.342877841,20.9429818,20.9429818,21.5473411,0.201453098,0.201453098,21.09407163,0.151089823,0.151089823,0.151089823,0,0,0,0,0,0,0,0,0,0,0,0,455.5266152,0.449852726,187.5507974,0,203.7746067,195.8545246,28.42062513,2.889792437,285.1532843,92.17198352,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Lebanon,1140.509401,1140.509401,1140.509401,1140.735293,0.26703528,1.439264155,1.439264155,1.587714319,0.049483388,0.049483388,1.476376696,0.037112541,0.037112541,0.037112541,0,0,0,0,0,0,0,0,0,0,0,0,103.1331565,0.143809878,42.60825278,0,46.31265767,43.55760979,6.197372916,0.662451967,65.09273624,20.26580908,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Lesotho,19188.37649,19188.37649,19188.37649,19196.09828,9.12822547,29.20546062,29.20546062,51.47185628,7.422131885,7.422131885,34.77205954,5.566598914,5.566598914,5.566598914,0,0,0,0,0,0,0,0,0,0,0,0,24937.03654,225.1181826,10239.08596,0,11319.98679,10226.03755,1373.315433,293.7437648,15756.82814,4526.161031,0,0,82.47135801,126.3627193,0,40.26293643,32.82421047,84.42680321,113.6721881,0,0,,0,0,0
Liberia,25672.21673,25672.21673,25672.21673,25672.21673,0,0,0,22.49130994,7.497103313,7.497103313,5.622827485,5.622827485,5.622827485,5.622827485,0,0,0,783075.835,0,0,0,0,0,0,0,0,2754.142075,36.9012695,1118.506496,0,1249.757149,1148.394508,154.5261315,41.99791537,1712.724329,503.5032927,0,0,1.818800443,0,0,7.085074823,0,0.316712856,0,0.121140282,885.4636459,,29.06034452,29.06034452,0
Libya,0,0,0,0,0,0,0,1.881391874,0.627130625,0.627130625,0.470347969,0.470347969,0.470347969,0.470347969,0,0,0,0,0,0,0,0,0,0,0,0,23.79372425,0.190993009,9.757090645,0,10.76777095,9.88599636,1.351083553,0.266091321,14.96422157,4.428953199,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Lithuania,2720.512855,2720.512855,2720.512855,2732.001913,13.58165839,62.33433793,62.33433793,64.88750403,0.851055367,0.851055367,62.97262946,0.638291526,0.638291526,0.638291526,0,0,0,0,0,0,0,0,0,0,0,0,0.008195277,0.001242979,0.002735266,0,0.004217032,0.002619947,0,0.000950039,0.004435267,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Luxembourg,23.10218656,23.10218656,23.10218656,23.10218656,0,0,0,0.021380126,0.007126709,0.007126709,0.005345032,0.005345032,0.005345032,0.005345032,0,0,0,0,0,0,0,0,0,0,0,0,0.719736414,0.099583732,0.242502776,0,0.377649905,0.22191498,0,0.07564743,0.406349917,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Madagascar,59981.73697,59981.73697,59981.73697,59981.73697,0,0,0,8.62201665,2.87400555,2.87400555,2.155504163,2.155504163,2.155504163,2.155504163,0,0,0,165276.9443,0,0,0,0,0,0,0,0,30.39133089,0.300523945,12.3449627,0,13.68648338,12.99895553,1.82338846,0.393600625,18.77750948,5.88274933,0,0,5492.259576,0,2091.67391,129.2874178,0,659.1472601,0,257.6508265,1287.492249,,45.71891917,45.71891917,0
Malawi,70640.9758,70640.9758,70640.9758,70645.45955,5.300416607,17.36244034,17.36244034,29.85938474,4.165648134,4.165648134,20.48667644,3.124236101,3.124236101,3.124236101,854302.7199,0,0,0,0,0,0,0,0,0,0,0,64660.0734,1081.205902,26261.82078,0,29558.16178,26263.87251,3386.393582,1126.242927,40492.15851,11145.27852,0,0,0,0,0,0,0,0,0,0,566.4063313,,143.0235915,143.0235915,0
Malaysia,16460.4528,16460.4528,16460.4528,16462.42368,2.329857269,5.379006074,5.379006074,19.86446221,4.82848538,4.82848538,9.000370109,3.621364035,3.621364035,3.621364035,0,0,0,0,0,0,0,0,0,681.1743335,340.5871667,0,1676.406936,7.40877663,689.1569873,0,754.6212059,707.3425373,99.51463274,14.53476522,1052.965484,324.7345988,0,0,2061.63595,0,0,763.6778911,0,24.56007257,0,0,0,,0,0,0
Maldives,124.5682737,124.5682737,124.5682737,124.5682737,0,0,0,0.106109214,0.035369738,0.035369738,0.026527303,0.026527303,0.026527303,0.026527303,0,0,0,0,0,0,0,0,0,0,0,0,1.879008864,0.00052621,0.775193552,0,0.840774637,0.804961199,0.116628689,0.010836693,1.179839661,0.379143154,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Mali,46513.90139,46513.90139,46513.90139,46515.70165,2.128159722,6.943817009,6.943817009,50.84147129,14.63255143,14.63255143,17.91823058,10.97441357,10.97441357,10.97441357,721958.5432,0,0,630197.7089,0,0,0,0,0,0,0,0,923.4650721,17.13674158,373.6468987,0,422.3432289,376.4106796,48.37211634,17.39153896,575.4343757,158.7103193,0,0,0,0,0,0,0,0,0,0,2500.451214,,0,0,0
Malta,22.7594826,22.7594826,22.7594826,22.7594826,0,0,0,0.020193,0.006731,0.006731,0.00504825,0.00504825,0.00504825,0.00504825,0,0,0,0,0,0,0,0,0,0,0,0,0.534055858,0.073892712,0.179940914,0,0.280222232,0.164664442,0,0.056131596,0.301518097,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Marshall Islands,195.1205986,195.1205986,195.1205986,195.14483,0.028644949,0.066133388,0.066133388,0.075938357,0.003268323,0.003268323,0.06858463,0.002451242,0.002451242,0.002451242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Mauritania,9173.747718,9173.747718,9173.747718,9175.295185,1.829319934,5.96875448,5.96875448,14.20490136,2.745382294,2.745382294,8.0277912,2.05903672,2.05903672,2.05903672,26483.18789,0,0,22559.87626,0,0,0,0,0,0,0,0,362.7669001,2.556296108,148.3956255,0,163.4301792,153.5758237,21.48995012,3.875972714,226.4286953,69.87474945,0,0,0,0,0,0,0,0,0,0,290.1667751,,0,0,0
Mauritius,146.2574825,146.2574825,146.2574825,146.2574825,0,0,0,0.127603077,0.042534359,0.042534359,0.031900769,0.031900769,0.031900769,0.031900769,0,0,0,0,0,0,0,0,0,0,0,0,116.3359649,0.126580907,47.87980508,0,52.03224144,50.07092297,7.271455286,0.748442716,72.77370606,23.56879276,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Mexico,39644.43529,39644.43529,39644.43529,39657.60392,15.56714316,41.40863975,41.40863975,51.24328368,3.278214643,3.278214643,43.86730073,2.458660982,2.458660982,2.458660982,0,0,0,0,0,0,0,0,0,3.266954733,1.633477366,0,4102.190479,100.060487,3302.094891,9.699779482,198.4157341,2797.841923,287.9048535,474.117617,672.4320406,799.2239995,449.6393868,5.764144361,0,0,0,0,0,0,0,0,0,,0,0,0
Micronesia (Federated States of),258.7973069,258.7973069,258.7973069,258.8292859,0.037803615,0.101760204,0.101760204,0.144918161,0.014385986,0.014385986,0.112549693,0.010789489,0.010789489,0.010789489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.008684752,0,0.008684752
Monaco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
